pid,Player,Season,AVG,FPTS_TG,FPTS/G_MISC_avg,ATT_RUSHING/G_avg,YDS_RUSHING/G_avg,TD_RUSHING/G_avg,REC_RECEIVING/G_avg,TGT_RECEIVING/G_avg,YDS_RECEIVING/G_avg,TD_RECEIVING/G_avg,FL_MISC/G_avg,YDS/ATT_RUSHING_avg,TD/ATT_RUSHING_avg,YDS/REC_RECEIVING_avg,YDS/TGT_RECEIVING_avg,REC/TGT_RECEIVING_avg,TD/TGT_RECEIVING_avg,FPTS/G_MISC_ewm,ATT_RUSHING/G_ewm,YDS_RUSHING/G_ewm,TD_RUSHING/G_ewm,REC_RECEIVING/G_ewm,TGT_RECEIVING/G_ewm,YDS_RECEIVING/G_ewm,TD_RECEIVING/G_ewm,FL_MISC/G_ewm,YDS/ATT_RUSHING_ewm,TD/ATT_RUSHING_ewm,YDS/REC_RECEIVING_ewm,YDS/TGT_RECEIVING_ewm,REC/TGT_RECEIVING_ewm,TD/TGT_RECEIVING_ewm,Rookie,Career_Years
13912,Todd Gurley II (FA),2018,1.0,24.5,16.53333333333333,17.86346153846154,75.79647435897436,0.6702991452991452,2.8565170940170943,3.8083333333333336,29.144123931623927,0.13333333333333333,0.09091880341880343,4.230188971797629,0.03728194605418168,9.623177371723884,7.308723843206603,0.7615679339817271,0.022988505747126436,17.569686670168608,17.984482205011005,76.41239056053986,0.6870746386868332,3.160113732715821,4.242324006076188,33.62573937845639,0.18123273572878915,0.09786071406246807,4.2332831233252355,0.03791857347514148,10.043007919191583,7.548105641332447,0.7537979991326094,0.03124702340151537,0,3
17240,Saquon Barkley (NYG),2018,6.5,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
16393,Christian McCaffrey (SF),2018,15.0,20.8,11.8,7.3125,27.1875,0.125,5.0,7.0625,40.6875,0.3125,0.0625,3.717948717948718,0.017094017094017096,8.1375,5.761061946902655,0.7079646017699115,0.04424778761061947,11.8,7.3125,27.1875,0.125,5.0,7.0625,40.6875,0.3125,0.0625,3.717948717948718,0.017094017094017096,8.1375,5.761061946902655,0.7079646017699115,0.04424778761061947,0,1
16421,Alvin Kamara (NO),2018,6.5,20.9,17.1,7.5,45.5,0.5,5.0625,6.25,51.625,0.3125,0.0625,6.066666666666666,0.06666666666666667,10.197530864197532,8.26,0.81,0.05,17.1,7.5,45.5,0.5,5.0625,6.25,51.625,0.3125,0.0625,6.066666666666666,0.06666666666666667,10.197530864197532,8.26,0.81,0.05,0,1
15498,Ezekiel Elliott (FA),2018,3.5,19.4,19.8,22.833333333333332,103.51666666666667,0.85,2.3666666666666667,3.2333333333333334,25.549999999999997,0.13333333333333333,0.08333333333333334,4.563600431189364,0.03775473538319388,10.844951923076923,8.076973684210525,0.7421052631578948,0.038815789473684206,19.662741699796953,23.067816262846872,102.62162816742597,0.8242640687119286,2.406700337559222,3.3305579626438253,25.781623381592645,0.14477152501692067,0.08619288125423018,4.477536567066361,0.036239898642592513,10.759371702848162,7.905739439631559,0.7321720966958322,0.041186204197585535,0,2
16447,James Conner (ARI),2018,189.5,19.4,1.0,2.2857142857142856,10.285714285714286,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,4.5,0.0,,0.0,0.0,0.0,1.0,2.2857142857142856,10.285714285714286,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,4.5,0.0,,0.0,0.0,0.0,0,1
13903,Melvin Gordon III (BAL),2018,10.0,20.9,13.5,16.810439560439562,63.84684065934065,0.4230769230769231,3.04532967032967,4.071657509157509,25.23168498168498,0.1346153846153846,0.14652014652014653,3.766579190996717,0.02251303094155484,8.081530188342635,6.09166871373593,0.7699951060762729,0.02776016346086099,14.505773032780091,17.279275993490714,66.23377229548615,0.47298495121255624,3.1868315075330558,4.353808309002146,26.912036540047286,0.16255926614080718,0.11401478335631009,3.809614595264243,0.025376145918690314,8.310551166239241,6.129014499781385,0.7491082026168466,0.03307657606726666,0,3
12195,James White (FA),2018,130.0,14.6,7.7,2.3601190476190474,8.863095238095239,0.047619047619047616,3.535714285714286,4.791666666666667,31.455357142857142,0.2708333333333333,0.0,3.592869662637104,0.030303030303030304,9.031349206349207,6.652634223370657,0.7387309790410566,0.05796009187482056,7.724264068711928,2.5285209052209323,9.76414859162841,0.032362988522998064,3.6610017815617555,4.925963534243402,31.55112596110511,0.2619328304328155,0.0,3.742097158594779,0.02059462906008968,8.735105942289811,6.472295067059876,0.7437240801378061,0.054285802615586146,0,3
16420,Joe Mixon (CIN),2018,23.5,15.9,9.0,12.714285714285714,44.714285714285715,0.2857142857142857,2.142857142857143,2.4285714285714284,20.5,0.0,0.14285714285714285,3.5168539325842696,0.02247191011235955,9.566666666666666,8.441176470588236,0.8823529411764706,0.0,9.0,12.714285714285714,44.714285714285715,0.2857142857142857,2.142857142857143,2.4285714285714284,20.5,0.0,0.14285714285714285,3.5168539325842696,0.02247191011235955,9.566666666666666,8.441176470588236,0.8823529411764706,0.0,0,1
13948,David Johnson (FA),2018,3.5,13.9,15.0,12.375,45.583333333333336,0.5,4.416666666666667,6.6875,50.166666666666664,0.16666666666666666,0.4166666666666667,3.655859344296204,0.03953583617747441,11.616203703703704,7.59566276803119,0.6549707602339181,0.03450292397660818,14.617985972543504,12.620659393517718,43.45636205085204,0.43364770084753396,4.83009431025426,7.2876178878178255,54.42778293076278,0.13672954016950678,0.5273113794914797,3.355084420154238,0.03199362178073539,11.455369927133177,7.5360076314561635,0.6587178624680357,0.0265768497644969,0,3
16425,Kareem Hunt (FA),2018,10.0,19.7,16.8,17.0,82.9375,0.5,3.3125,3.9375,28.4375,0.1875,0.0625,4.8786764705882355,0.029411764705882353,8.584905660377359,7.222222222222222,0.8412698412698413,0.047619047619047616,16.8,17.0,82.9375,0.5,3.3125,3.9375,28.4375,0.1875,0.0625,4.8786764705882355,0.029411764705882353,8.584905660377359,7.222222222222222,0.8412698412698413,0.047619047619047616,0,1
17498,Phillip Lindsay (FA),2018,345.0,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
16450,Tarik Cohen (FA),2018,86.0,12.4,7.4,5.4375,23.125,0.125,3.3125,4.4375,22.0625,0.0625,0.125,4.252873563218391,0.022988505747126436,6.660377358490566,4.971830985915493,0.7464788732394366,0.014084507042253521,7.4,5.4375,23.125,0.125,3.3125,4.4375,22.0625,0.0625,0.125,4.252873563218391,0.022988505747126436,6.660377358490566,4.971830985915493,0.7464788732394366,0.014084507042253521,0,1
15514,Derrick Henry (TEN),2018,32.5,12.1,7.35,9.166666666666666,39.58333333333333,0.32291666666666663,0.7770833333333333,1.03125,8.816666666666666,0.03125,0.0,4.340909090909091,0.036931818181818184,11.45104895104895,8.566666666666666,0.7568627450980392,0.029411764705882353,7.478679656440358,9.48121693796532,40.77004572050552,0.3211294492161062,0.761713263258513,1.0366116523516815,8.762335256169626,0.03661165235168156,0.0,4.321412173266613,0.03546954935863231,11.607624197347008,8.469442037356174,0.7380233705603662,0.034458025742759114,0,2
16754,Chris Carson (FA),2018,97.0,13.7,9.1,12.25,52.0,0.0,1.75,2.0,14.75,0.25,0.0,4.244897959183674,0.0,8.428571428571429,7.375,0.875,0.125,9.1,12.25,52.0,0.0,1.75,2.0,14.75,0.25,0.0,4.244897959183674,0.0,8.428571428571429,7.375,0.875,0.125,0,1
17246,Nick Chubb (CLE),2018,104.0,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
