pid,Player,Season,AVG,FPTS_TG,Y/A_PASSING_avg,FPTS/G_MISC_avg,CMP_PASSING/G_avg,ATT_PASSING/G_avg,PCT_PASSING/G_avg,YDS_PASSING/G_avg,Y/A_PASSING/G_avg,TD_PASSING/G_avg,INT_PASSING/G_avg,SACKS_PASSING/G_avg,ATT_RUSHING/G_avg,YDS_RUSHING/G_avg,TD_RUSHING/G_avg,FL_MISC/G_avg,Y/A_PASSING_ewm,FPTS/G_MISC_ewm,CMP_PASSING/G_ewm,ATT_PASSING/G_ewm,PCT_PASSING/G_ewm,YDS_PASSING/G_ewm,Y/A_PASSING/G_ewm,TD_PASSING/G_ewm,INT_PASSING/G_ewm,SACKS_PASSING/G_ewm,ATT_RUSHING/G_ewm,YDS_RUSHING/G_ewm,TD_RUSHING/G_ewm,FL_MISC/G_ewm,Rookie,Career_Years,STD
16413,Patrick Mahomes II KC (10),2023,14.3,,7.833333333333333,24.2,25.745098039215687,38.67450980392157,4.089019607843137,302.94117647058823,0.4819607843137254,2.373856209150327,0.6235294117647059,1.5477124183006534,3.867973856209151,21.334640522875816,0.1620915032679738,0.122875816993464,7.843698207186367,24.22010101267767,25.700362569332,38.55130149011368,4.039122776544747,302.496399793497,0.4757860235541313,2.363922094307718,0.6554332034576419,1.552888872611511,3.805950905526099,21.373230058495324,0.1745043876796201,0.1055883361941018,0,6,0.5773502691896257
17298,Josh Allen BUF (13),2023,20.0,,7.399999999999999,24.766666666666666,23.367647058823525,35.818627450980394,3.922058823529412,265.7058823529412,0.4449754901960784,2.162990196078431,0.7769607843137255,1.6985294117647058,6.987745098039216,38.94730392156863,0.4215686274509804,0.2818627450980392,7.366352299152466,24.6453081839322,22.96276525634611,35.544696208968425,3.8571219246824335,262.4201929293515,0.4398945222491223,2.135137350415002,0.7974000963036006,1.7376295217472302,7.101512195700409,41.021995725629885,0.4129078904984964,0.2747493695588103,0,5,3.605551275463989
19275,Jalen Hurts PHI (10),2023,21.7,,7.5,18.166666666666668,14.4,23.111111111111114,3.995555555555556,175.68888888888887,0.5,0.9777777777777776,0.4222222222222222,1.711111111111111,8.155555555555557,42.17777777777778,0.5777777777777778,0.1333333333333333,7.594503195559283,20.154024941864574,16.065777501062364,25.356578021153005,4.103279667441806,194.9654565899003,0.5063002130372856,1.0968721226214648,0.43386999224861,1.8994633410847237,8.904201195209088,45.0475626934699,0.6515639386892675,0.1333333333333333,0,3,1.5275252316519463
17233,Lamar Jackson BAL (13),2023,34.0,,7.233333333333333,21.4,17.849999999999998,28.022222222222226,4.950555555555556,203.6,0.5622222222222222,1.4944444444444445,0.7555555555555555,2.422222222222222,10.366666666666667,64.8611111111111,0.2944444444444444,0.2277777777777777,7.18284271247462,21.1226540919661,17.88722805990996,28.18602452679145,5.044223424349197,203.2329453979372,0.5710077474807983,1.4617065211412257,0.7472976358362036,2.4341843597628103,10.207643440101826,64.50189737579089,0.2723857625084603,0.216018862050852,0,5,3.0
19196,Joe Burrow CIN (7),2023,35.7,,7.666666666666667,20.03333333333333,24.62107843137255,36.26078431372549,4.986470588235294,274.4272058823529,0.5538480392156863,1.8475490196078432,0.6936274509803922,2.9330882352941177,3.5568627450980395,12.270098039215688,0.2397058823529411,0.2338235294117647,7.72198721776287,20.4546918160678,24.44979254005512,35.82215595714612,4.714625359599758,273.8759439746228,0.5272161159581545,1.9347722571670245,0.7134230205359141,2.8388601876099675,3.664686845786483,12.482498293121443,0.2412687955318886,0.2106191416954022,0,3,3.511884584284246
19781,Justin Fields CHI (13),2023,45.0,,7.0,15.95,13.025,21.85,4.467499999999999,152.65,0.5241666666666667,0.8583333333333334,0.7833333333333333,3.333333333333333,8.333333333333332,55.6,0.35,0.275,7.0171572875253805,16.730656582404833,12.986396103067896,21.738477631085026,4.391864957492278,152.1038263471087,0.5154450455079315,0.905515874028131,0.7747546895706429,3.3905242917512703,8.73367004225889,59.13440123022849,0.3814550271298652,0.2506938426723769,0,2,2.6457513110645907
18635,Justin Herbert LAC (5),2023,45.3,,7.2,21.1,26.83921568627451,40.10457516339869,4.109411764705882,287.5908496732026,0.4426143790849672,1.924183006535948,0.7124183006535948,2.0640522875817,3.5163398692810457,14.003921568627453,0.1699346405228758,0.1006535947712418,7.137534528542422,20.40027622833937,27.042277639469457,40.28010618475896,4.065432367105458,286.281094569195,0.432825550412497,1.8506187521050703,0.7002318096843051,2.080275787380491,3.4571315391957795,13.14327112126882,0.1320508000664732,0.1139040667411026,0,3,6.027713773341708
19780,Trevor Lawrence JAC (9),2023,55.0,,6.5,15.3,21.94117647058824,34.88235294117647,3.702941176470589,228.05882352941177,0.3823529411764705,1.0882352941176472,0.7352941176470589,1.7352941176470589,3.9705882352941178,18.38235294117647,0.2058823529411764,0.4117647058823529,6.585786437626905,15.746089475659906,22.082471779620786,34.79152024251269,3.736751125417663,230.44065873881763,0.3873992022133473,1.1538366875970452,0.689877768315168,1.7100628124626749,3.9150793638884736,18.16536371659077,0.2210211360518067,0.43194975002986,0,2,3.0
15600,Dak Prescott DAL (7),2023,78.7,,7.733333333333333,22.1,25.85833333333333,38.16111111111111,7.805555555555554,295.8652777777777,0.919027777777778,2.0097222222222224,0.8916666666666666,1.8472222222222223,3.45,14.297222222222222,0.2486111111111111,0.3527777777777778,7.613270459830494,20.99450319555928,24.905732580076368,36.86865611857068,6.958080124022241,281.16139099686256,0.8063903623447285,2.0170528839421307,0.9478208105169058,1.8089255650988791,3.475735931288072,14.008844659691434,0.1937049493036546,0.2938228371214799,0,7,9.71253485622231
16398,Deshaun Watson CLE (5),2023,83.7,,7.7,19.3,20.1875,31.166666666666664,7.043750000000001,242.5520833333333,0.8197916666666667,1.6145833333333337,0.6354166666666667,3.197916666666667,5.8125,28.458333333333336,0.1770833333333333,0.09375,7.494112549695429,18.579393923934,19.55482502250158,30.68054352011421,7.499490449892933,232.44894308531477,0.8650082681658479,1.537732982959231,0.6693737982273166,3.221150493523954,5.8446699141100895,28.57986411997145,0.1752961158827728,0.0776650429449553,0,5,3.214550253664318
