pid,Player,Season,AVG,FPTS_TG,FPTS/G_MISC_avg,ATT_RUSHING/G_avg,YDS_RUSHING/G_avg,TD_RUSHING/G_avg,REC_RECEIVING/G_avg,TGT_RECEIVING/G_avg,YDS_RECEIVING/G_avg,TD_RECEIVING/G_avg,FL_MISC/G_avg,YDS/ATT_RUSHING_avg,TD/ATT_RUSHING_avg,YDS/REC_RECEIVING_avg,YDS/TGT_RECEIVING_avg,REC/TGT_RECEIVING_avg,TD/TGT_RECEIVING_avg,FPTS/G_MISC_ewm,ATT_RUSHING/G_ewm,YDS_RUSHING/G_ewm,TD_RUSHING/G_ewm,REC_RECEIVING/G_ewm,TGT_RECEIVING/G_ewm,YDS_RECEIVING/G_ewm,TD_RECEIVING/G_ewm,FL_MISC/G_ewm,YDS/ATT_RUSHING_ewm,TD/ATT_RUSHING_ewm,YDS/REC_RECEIVING_ewm,YDS/TGT_RECEIVING_ewm,REC/TGT_RECEIVING_ewm,TD/TGT_RECEIVING_ewm,Rookie,Career_Years
11594,Travis Kelce (KC),2018,31.0,15.2,11.233333333333334,0.06527777777777778,0.051388888888888894,0.0,5.115277777777778,7.294444444444444,64.73333333333333,0.36527777777777776,0.041666666666666664,-0.75,0.0,12.631365330603458,8.872908989254684,0.7019509071872593,0.04943516466674194,11.594503195559284,0.08043448947316142,0.1113203038657621,0.0,5.228491075625718,7.48618137174009,66.26874458405139,0.39253199528670396,0.028317614957623305,-0.02081528017130799,0.0,12.659640867869484,8.859957918115752,0.6993555997492845,0.05166048463703978,0,3
11689,Zach Ertz (ARI),2018,38.5,13.9,10.333333333333334,0.0,0.0,0.0,5.285714285714286,7.631746031746032,58.00317460317461,0.33015873015873015,0.046031746031746035,,,10.99000231000231,7.601697909009229,0.6927397288246344,0.04277342154700645,10.66246547145758,0.0,0.0,0.0,5.312524663244587,7.677147667270366,58.22314584123649,0.38064571871508,0.04746571650039715,,,10.973291730171386,7.585646965205917,0.6922513093505898,0.049086487269708455,0,3
16499,George Kittle (SF),2018,130.5,13.4,5.7,0.0,0.0,0.0,2.8666666666666667,4.2,34.333333333333336,0.13333333333333333,0.0,,,11.976744186046512,8.174603174603174,0.6825396825396826,0.031746031746031744,5.7,0.0,0.0,0.0,2.8666666666666667,4.2,34.333333333333336,0.13333333333333333,0.0,,,11.976744186046512,8.174603174603174,0.6825396825396826,0.031746031746031744,0,1
12143,Eric Ebron (FA),2018,167.0,11.8,7.666666666666667,0.025641025641025644,0.025641025641025644,0.025641025641025644,3.7873168498168504,5.637820512820514,42.97481684981685,0.22802197802197802,0.020833333333333332,1.0,1.0,11.303819433018978,7.570184352810892,0.6684515666731808,0.04323496840596704,7.521987217762871,0.02464440315515698,0.02464440315515698,0.02464440315515698,3.7646724155090654,5.66279375284888,42.465944047417366,0.21882233429314538,0.028317614957623305,1.0,1.0,11.229545402532347,7.441811733992387,0.6612486852538342,0.041024212195416444,0,3
9265,Jared Cook (FA),2018,172.0,10.0,5.5,0.0,0.0,0.0,2.9375,5.054166666666666,36.920833333333334,0.075,0.075,,,12.546913580246914,7.2684967320261435,0.5787140902872777,0.014287885696914424,5.767962275898296,0.0,0.0,0.0,3.042476422436435,5.1311493764533855,38.37112747449568,0.08867295401695068,0.07451414653813902,,,12.592676920405522,7.445815966853034,0.5907517267683273,0.016818693647584756,0,3
15581,Austin Hooper (LV),2018,176.5,8.0,4.9,0.0,0.0,0.0,2.209821428571429,2.9955357142857144,26.11607142857143,0.20089285714285715,0.0,,,12.498925886143931,9.064672364672365,0.7287749287749288,0.07863247863247863,5.0715728752538105,0.0,0.0,0.0,2.3561179427387398,3.178597844578842,27.275720237206556,0.19859500613499362,0.0,,,12.196231527814842,8.89784096203953,0.7330764709465344,0.07306002627380788,0,2
12153,Trey Burton (FA),2018,81.5,7.5,2.8666666666666667,0.0,0.0,0.0,1.3444444444444443,2.022222222222222,13.448611111111111,0.13194444444444445,0.0,,,12.54014884449667,8.983333333333333,0.7028673835125447,0.059318996415770604,3.328150896406816,0.0,0.0,0.0,1.4780742792487,2.1944190183278933,14.80323854393155,0.17105085733755598,0.0,,,11.794582837455437,8.429013093541972,0.7036291487300775,0.07841733670329037,0,3
9906,Kyle Rudolph (FA),2018,78.0,7.5,8.366666666666667,0.0,0.0,0.0,3.9375,5.958333333333333,38.895833333333336,0.4166666666666667,0.0,,,9.851952025790235,6.5707865053374945,0.6679081530679705,0.07342962860466666,8.506439906983319,0.0,0.0,0.0,3.969842556822198,5.970431995911325,38.893386012862,0.43750000000000006,0.0,,,9.759661528418004,6.55069466617826,0.672346407399877,0.07725502715852707,0,3
16399,David Njoku (CLE),2018,114.5,7.2,4.9,0.0625,0.0625,0.0,2.0,3.75,24.125,0.25,0.0,1.0,0.0,12.0625,6.433333333333334,0.5333333333333333,0.06666666666666667,4.9,0.0625,0.0625,0.0,2.0,3.75,24.125,0.25,0.0,1.0,0.0,12.0625,6.433333333333334,0.5333333333333333,0.06666666666666667,0,1
11699,Vance McDonald (FA),2018,191.0,7.2,4.8999999999999995,0.0,0.0,0.0,1.908225108225108,3.258874458874459,25.87705627705628,0.22597402597402597,0.0,,,13.528968253968253,7.869726247987117,0.5896135265700483,0.06525764895330112,4.693169447152827,0.0,0.0,0.0,1.8187642923874578,3.1423793181986746,25.181060366471133,0.21035348163198195,0.0,,,13.765465720875646,7.938348972446839,0.582909679520013,0.06213079475501875,0,3
