pid,Player,Season,AVG,FPTS_TG,Y/A_PASSING_avg,FPTS/G_MISC_avg,CMP_PASSING/G_avg,ATT_PASSING/G_avg,PCT_PASSING/G_avg,YDS_PASSING/G_avg,Y/A_PASSING/G_avg,TD_PASSING/G_avg,INT_PASSING/G_avg,SACKS_PASSING/G_avg,ATT_RUSHING/G_avg,YDS_RUSHING/G_avg,TD_RUSHING/G_avg,FL_MISC/G_avg,Y/A_PASSING_ewm,FPTS/G_MISC_ewm,CMP_PASSING/G_ewm,ATT_PASSING/G_ewm,PCT_PASSING/G_ewm,YDS_PASSING/G_ewm,Y/A_PASSING/G_ewm,TD_PASSING/G_ewm,INT_PASSING/G_ewm,SACKS_PASSING/G_ewm,ATT_RUSHING/G_ewm,YDS_RUSHING/G_ewm,TD_RUSHING/G_ewm,FL_MISC/G_ewm,Rookie,Career_Years,STD
18232,Daniel Jones NYG (13),2023,109.0,,6.7,15.933333333333332,20.301136363636363,31.439393939393938,4.836580086580086,210.41801948051946,0.5018398268398269,0.877435064935065,0.5543831168831169,2.6547619047619047,5.926406926406926,33.8517316017316,0.23024891774891776,0.2962662337662338,6.722654091966098,16.47962275898296,20.264549599872996,31.129422235254467,4.787037716259222,209.09608820435386,0.49449650882083873,0.8940126985290577,0.50727944350486,2.614896781936963,6.25567355309919,35.57295417380031,0.2726552064225059,0.26941742162832977,0,4,12.12435565298214
11687,Geno Smith SEA (5),2023,116.0,,7.166666666666667,11.133333333333333,14.573529411764705,20.79901960784314,33.73529411764706,153.4607843137255,2.963725490196078,1.0049019607843137,0.29901960784313725,2.3186274509803924,2.75,10.009803921568627,0.10294117647058824,0.16176470588235295,7.264075448203409,13.052414965118745,16.746391132786574,23.986535371998972,25.462025122780524,177.82537591063777,2.287757012403729,1.2000277383100766,0.3732649121684779,2.493753106425825,2.9862579888982057,12.665464673230018,0.1067461831555527,0.18670180185943025,0,8,7.0
24347,Anthony Richardson IND (11),2023,116.3,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0,1,15.01110699893027
15501,Jared Goff DET (9),2023,124.7,,7.133333333333333,16.166666666666668,23.617180205415497,35.53837535014006,4.365359477124183,252.10373482726422,0.4661624649859944,1.465452847805789,0.6166199813258637,1.7954248366013073,2.1067226890756303,5.7028011204481786,0.08888888888888889,0.31017740429505136,7.189006391118564,16.2217109894235,23.36654222976409,35.28609502675574,4.284730457241678,252.22586055263864,0.46232886053798733,1.5097565579228773,0.5659712831678306,1.7612989227525089,1.9321729479341005,5.431672503591332,0.06041091190959638,0.30432293537921246,0,7,19.5021366350801
11180,Russell Wilson DEN (9),2023,146.3,,7.533333333333334,18.96666666666667,20.655555555555555,31.882142857142856,4.32063492063492,240.18015873015872,0.5041865079365079,1.7841269841269842,0.6581349206349206,2.9871031746031744,3.9751984126984126,21.200198412698413,0.15595238095238095,0.15158730158730158,7.505496804440718,18.13981137949148,20.18395416948,31.643485256974163,4.2844449839435494,237.31909183446695,0.505186775984894,1.6217418105310955,0.6536290445917776,3.0819389542725015,3.820496909950464,19.81816775797508,0.16470216011016653,0.13993023046891734,0,8,28.37839553839035
22900,Bryce Young CAR (7),2023,152.3,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0,1,16.19670748434179
19797,Brock Purdy SF (9),2023,155.7,,8.1,12.3,12.666666666666666,18.88888888888889,7.455555555555555,152.66666666666666,0.8999999999999999,1.4444444444444444,0.4444444444444444,1.2222222222222223,2.4444444444444446,1.4444444444444444,0.1111111111111111,0.0,8.1,12.3,12.666666666666666,18.88888888888889,7.455555555555555,152.66666666666666,0.8999999999999999,1.4444444444444444,0.4444444444444444,1.2222222222222223,2.4444444444444446,1.4444444444444444,0.1111111111111111,0.0,0,1,23.115651263447745
22722,Kenny Pickett PIT (6),2023,156.7,,6.2,12.2,18.846153846153847,29.923076923076923,4.846153846153846,184.92307692307693,0.47692307692307695,0.5384615384615384,0.6923076923076923,2.076923076923077,4.230769230769231,18.23076923076923,0.23076923076923078,0.07692307692307693,6.2,12.2,18.846153846153847,29.923076923076923,4.846153846153846,184.92307692307693,0.47692307692307695,0.5384615384615384,0.6923076923076923,2.076923076923077,4.230769230769231,18.23076923076923,0.23076923076923078,0.07692307692307693,0,1,25.006665778014735
23071,C.J. Stroud HOU (7),2023,162.7,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0,1,24.440403706431148
19246,Jordan Love GB (6),2023,162.7,,7.95,3.45,4.75,7.791666666666667,13.179166666666667,58.625,1.7125,0.29166666666666663,0.25,0.25,1.125,2.125,0.0,0.08333333333333333,8.181623381592644,3.355634918610405,4.535533905932738,7.355585608729901,13.778956843074779,56.930717856868625,1.8175883860929587,0.2845177968644246,0.20710678118654754,0.20710678118654754,0.9748737341529164,1.7175144212722018,0.0,0.06903559372884918,0,2,10.263202878893768
12092,Derek Carr NO (11),2023,167.0,,7.533333333333334,16.333333333333332,22.41993464052287,34.200898692810455,4.0943709150326795,257.9419117647059,0.4711192810457516,1.5468137254901961,0.7731209150326798,1.9259803921568628,2.1301470588235296,7.300980392156863,0.0625,0.2647058823529412,7.428150896406816,16.10388682769489,22.205897254445397,34.280663113305344,4.078426717467847,255.01204212576718,0.468404815226859,1.5406703062190676,0.8141457315140426,1.9375051076216911,2.030953236981848,7.098527320884246,0.042476422436434964,0.20749906012962285,0,8,34.11744421846396
18600,Kyler Murray ARI (14),2023,171.7,,7.033333333333334,21.833333333333332,23.58955627705628,34.89556277056277,5.05974025974026,244.6534090909091,0.5208603896103896,1.5373376623376622,0.7002164502164502,2.0581709956709955,6.896374458874459,39.80059523809524,0.43912337662337664,0.14393939393939395,6.903219953491659,21.20321995349166,23.59797217615758,34.9716718778466,5.270017535925997,240.42283142205528,0.532566307920844,1.4939967355893982,0.6870713830277386,2.1214260028987026,6.656601489412507,38.49314271582516,0.3937350998478379,0.1390137461556053,0,4,27.934447074057747
