pid,Player,Season,AVG,FPTS_TG,ATT_RUSHING_avg,YDS_RUSHING_avg,TD_RUSHING_avg,REC_RECEIVING_avg,TGT_RECEIVING_avg,YDS_RECEIVING_avg,TD_RECEIVING_avg,FL_MISC_avg,G_MISC_avg,FPTS/G_MISC_avg,FPTS_MISC_avg,ATT_RUSHING/G_avg,YDS_RUSHING/G_avg,TD_RUSHING/G_avg,REC_RECEIVING/G_avg,TGT_RECEIVING/G_avg,YDS_RECEIVING/G_avg,TD_RECEIVING/G_avg,FL_MISC/G_avg,YDS/ATT_RUSHING_avg,TD/ATT_RUSHING_avg,YDS/REC_RECEIVING_avg,YDS/TGT_RECEIVING_avg,REC/TGT_RECEIVING_avg,TD/TGT_RECEIVING_avg,ATT_RUSHING_ewm,YDS_RUSHING_ewm,TD_RUSHING_ewm,REC_RECEIVING_ewm,TGT_RECEIVING_ewm,YDS_RECEIVING_ewm,TD_RECEIVING_ewm,FL_MISC_ewm,G_MISC_ewm,FPTS/G_MISC_ewm,FPTS_MISC_ewm,ATT_RUSHING/G_ewm,YDS_RUSHING/G_ewm,TD_RUSHING/G_ewm,REC_RECEIVING/G_ewm,TGT_RECEIVING/G_ewm,YDS_RECEIVING/G_ewm,TD_RECEIVING/G_ewm,FL_MISC/G_ewm,YDS/ATT_RUSHING_ewm,TD/ATT_RUSHING_ewm,YDS/REC_RECEIVING_ewm,YDS/TGT_RECEIVING_ewm,REC/TGT_RECEIVING_ewm,TD/TGT_RECEIVING_ewm,ATT_RUSHING_ls,YDS_RUSHING_ls,TD_RUSHING_ls,REC_RECEIVING_ls,TGT_RECEIVING_ls,YDS_RECEIVING_ls,TD_RECEIVING_ls,FL_MISC_ls,G_MISC_ls,FPTS/G_MISC_ls,FPTS_MISC_ls,ATT_RUSHING/G_ls,YDS_RUSHING/G_ls,TD_RUSHING/G_ls,REC_RECEIVING/G_ls,TGT_RECEIVING/G_ls,YDS_RECEIVING/G_ls,TD_RECEIVING/G_ls,FL_MISC/G_ls,YDS/ATT_RUSHING_ls,TD/ATT_RUSHING_ls,YDS/REC_RECEIVING_ls,YDS/TGT_RECEIVING_ls,REC/TGT_RECEIVING_ls,TD/TGT_RECEIVING_ls,Rookie,Career_Years
16425,Kareem Hunt (FA),2018,10.0,217.2,272.0,1327.0,8.0,53.0,63.0,455.0,3.0,1.0,16.0,16.8,268.7,17.0,82.9375,0.5,3.3125,3.9375,28.4375,0.1875,0.0625,4.8786764705882355,0.029411764705882353,8.584905660377359,7.222222222222222,0.8412698412698413,0.047619047619047616,272.0,1327.0,8.0,53.0,63.0,455.0,3.0,1.0,16.0,16.8,268.7,17.0,82.9375,0.5,3.3125,3.9375,28.4375,0.1875,0.0625,4.8786764705882355,0.029411764705882353,8.584905660377359,7.222222222222222,0.8412698412698413,0.047619047619047616,272.0,1327.0,8.0,53.0,63.0,455.0,3.0,1.0,16.0,16.8,268.7,17.0,82.9375,0.5,3.3125,3.9375,28.4375,0.1875,0.0625,4.8786764705882355,0.029411764705882353,8.584905660377359,7.222222222222222,0.8412698412698413,0.047619047619047616,0,1
17498,Phillip Lindsay (FA),2018,345.0,205.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
16450,Tarik Cohen (FA),2018,86.0,198.4,87.0,370.0,2.0,53.0,71.0,353.0,1.0,2.0,16.0,7.4,117.6,5.4375,23.125,0.125,3.3125,4.4375,22.0625,0.0625,0.125,4.252873563218391,0.022988505747126436,6.660377358490566,4.971830985915493,0.7464788732394366,0.014084507042253521,87.0,370.0,2.0,53.0,71.0,353.0,1.0,2.0,16.0,7.4,117.6,5.4375,23.125,0.125,3.3125,4.4375,22.0625,0.0625,0.125,4.252873563218391,0.022988505747126436,6.660377358490566,4.971830985915493,0.7464788732394366,0.014084507042253521,87.0,370.0,2.0,53.0,71.0,353.0,1.0,2.0,16.0,7.4,117.6,5.4375,23.125,0.125,3.3125,4.4375,22.0625,0.0625,0.125,4.252873563218391,0.022988505747126436,6.660377358490566,4.971830985915493,0.7464788732394366,0.014084507042253521,0,1
15514,Derrick Henry (TEN),2018,32.5,193.1,143.0,617.0,5.0,12.0,16.0,136.5,0.5,0.0,15.5,7.35,114.35,9.166666666666666,39.58333333333333,0.32291666666666663,0.7770833333333333,1.03125,8.816666666666666,0.03125,0.0,4.340909090909091,0.036931818181818184,11.45104895104895,8.566666666666666,0.7568627450980392,0.029411764705882353,148.66190488337574,638.7897551572339,5.0,11.828427124746192,16.171572875253812,136.41421356237308,0.585786437626905,0.0,15.585786437626906,7.478679656440358,116.94932906009522,9.48121693796532,40.77004572050552,0.3211294492161062,0.761713263258513,1.0366116523516815,8.762335256169626,0.03661165235168156,0.0,4.321412173266613,0.03546954935863231,11.607624197347008,8.469442037356174,0.7380233705603662,0.034458025742759114,176.0,744.0,5.0,11.0,17.0,136.0,1.0,0.0,16.0,8.1,129.5,11.0,46.5,0.3125,0.6875,1.0625,8.5,0.0625,0.0,4.2272727272727275,0.028409090909090908,12.363636363636363,8.0,0.6470588235294118,0.058823529411764705,0,2
16754,Chris Carson (FA),2018,97.0,191.4,49.0,208.0,0.0,7.0,8.0,59.0,1.0,0.0,4.0,9.1,36.2,12.25,52.0,0.0,1.75,2.0,14.75,0.25,0.0,4.244897959183674,0.0,8.428571428571429,7.375,0.875,0.125,49.0,208.0,0.0,7.0,8.0,59.0,1.0,0.0,4.0,9.1,36.2,12.25,52.0,0.0,1.75,2.0,14.75,0.25,0.0,4.244897959183674,0.0,8.428571428571429,7.375,0.875,0.125,49.0,208.0,0.0,7.0,8.0,59.0,1.0,0.0,4.0,9.1,36.2,12.25,52.0,0.0,1.75,2.0,14.75,0.25,0.0,4.244897959183674,0.0,8.428571428571429,7.375,0.875,0.125,0,1
17246,Nick Chubb (CLE),2018,104.0,184.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
15637,Kenyan Drake (FA),2018,35.0,179.7,83.0,411.5,2.5,20.5,29.0,142.5,0.5,1.0,16.0,5.15,82.65,5.1875,25.71875,0.15625,1.28125,1.8125,8.90625,0.03125,0.0625,5.13317384370016,0.04158122579175211,6.289930555555555,4.789583333333333,0.7833333333333333,0.010416666666666666,91.57864376269049,451.39069349651083,2.585786437626905,22.473088065418814,32.25988462982239,159.05678246199264,0.585786437626905,1.17157287525381,16.0,5.621825406947978,90.1391560048288,5.723665235168156,28.211918343531927,0.16161165235168157,1.4045680040886759,2.0162427893638992,9.94104890387454,0.03661165235168156,0.07322330470336312,5.083234370440477,0.03831708018143242,6.492183997043988,4.822110690933535,0.7633164978870555,0.012203884117227186,133.0,644.0,3.0,32.0,48.0,239.0,1.0,2.0,16.0,7.9,126.3,8.3125,40.25,0.1875,2.0,3.0,14.9375,0.0625,0.125,4.842105263157895,0.022556390977443608,7.46875,4.979166666666667,0.6666666666666666,0.020833333333333332,0,2
9006,Adrian Peterson (FA),2018,122.5,179.0,173.33333333333334,695.3333333333334,4.333333333333333,14.666666666666666,20.333333333333332,100.0,0.0,2.0,9.666666666666666,8.4,108.86666666666667,16.123611111111114,56.57083333333333,0.29583333333333334,1.325,2.0500000000000003,7.847222222222222,0.0,0.24027777777777773,3.292751996880437,0.015486552183799887,5.476767676767676,3.7280701754385963,0.6374269005847953,0.0,156.61360558100085,599.1607200511154,3.3981137949147966,12.741259545422416,18.686291501015244,84.57083084541343,0.0,1.906163678643946,9.116604830846635,7.5971706923721944,91.32014027456499,15.649326044871025,52.682912190576644,0.2463632501313227,1.2435314886355604,2.0113270459830495,7.169167444928772,0.0,0.23988520397317645,3.1886356732037613,0.013429384087172097,5.413990183282629,3.4934208743113353,0.6112832587808354,0.0,156.0,529.0,2.0,11.0,19.0,70.0,0.0,2.0,10.0,7.3,73.4,15.6,52.9,0.2,1.1,1.9,7.0,0.0,0.2,3.391025641025641,0.01282051282051282,6.363636363636363,3.6842105263157894,0.5789473684210527,0.0,0,3
13926,Tevin Coleman (FA),2018,68.5,177.6,120.33333333333333,513.3333333333334,4.666666666666667,20.0,30.0,244.66666666666666,2.0,1.0,13.333333333333334,9.1,123.8,8.90897435897436,38.17777777777778,0.34401709401709407,1.4504273504273504,2.197863247863248,17.828205128205127,0.1435897435897436,0.08333333333333333,4.312722604364919,0.03711404836477893,10.5515730784548,6.488131313131313,0.5497086247086247,0.05064102564102565,128.19434138474438,539.9356009301669,5.054968044407176,22.617985972543504,32.977231490509425,273.5218613006979,2.320377241017041,0.6796227589829594,13.67962275898296,9.784728917559825,135.5475654039376,9.262512368799193,39.18445268922044,0.36706091498699567,1.6172806285329153,2.371451418132646,19.671022798410235,0.16454957732986553,0.05663522991524661,4.256512847696884,0.03884626335762469,10.954177915901777,7.133922703347402,0.6031536625159055,0.05888074225489136,156.0,628.0,5.0,27.0,39.0,299.0,3.0,0.0,15.0,10.3,154.2,10.4,41.86666666666667,0.3333333333333333,1.8,2.6,19.933333333333334,0.2,0.0,4.0256410256410255,0.03205128205128205,11.074074074074074,7.666666666666667,0.6923076923076923,0.07692307692307693,0,3
15585,Jordan Howard (FA),2018,19.0,170.0,264.0,1217.5,7.5,26.0,41.0,211.5,0.5,1.0,15.5,13.100000000000001,201.89999999999998,17.025,78.82916666666667,0.48125,1.6854166666666668,2.666666666666667,13.839583333333334,0.03333333333333333,0.06458333333333333,4.637767425810904,0.02820910973084886,7.855322338830585,4.933125,0.649375,0.01,266.05887450304573,1201.1147904132613,7.757359312880715,25.48528137423857,39.45584412271571,196.65894629054546,0.4142135623730951,1.0,15.585786437626906,12.876955262170048,199.54945160902278,17.063603896932108,77.3357677649783,0.49519029611437215,1.6428808913433266,2.5522847498307937,12.805499316439018,0.02761423749153967,0.06422588984322124,4.539533370163946,0.02896395933729678,7.440023377665255,4.756941103723744,0.6612778682207331,0.008284271247461903,276.0,1122.0,9.0,23.0,32.0,125.0,0.0,1.0,16.0,11.8,188.2,17.25,70.125,0.5625,1.4375,2.0,7.8125,0.0,0.0625,4.065217391304348,0.03260869565217391,5.434782608695652,3.90625,0.71875,0.0,0,2
