pid,Player,Season,AVG,FPTS_TG,FPTS/G_MISC_avg,ATT_RUSHING/G_avg,YDS_RUSHING/G_avg,TD_RUSHING/G_avg,REC_RECEIVING/G_avg,TGT_RECEIVING/G_avg,YDS_RECEIVING/G_avg,TD_RECEIVING/G_avg,FL_MISC/G_avg,YDS/ATT_RUSHING_avg,TD/ATT_RUSHING_avg,YDS/REC_RECEIVING_avg,YDS/TGT_RECEIVING_avg,REC/TGT_RECEIVING_avg,TD/TGT_RECEIVING_avg,FPTS/G_MISC_ewm,ATT_RUSHING/G_ewm,YDS_RUSHING/G_ewm,TD_RUSHING/G_ewm,REC_RECEIVING/G_ewm,TGT_RECEIVING/G_ewm,YDS_RECEIVING/G_ewm,TD_RECEIVING/G_ewm,FL_MISC/G_ewm,YDS/ATT_RUSHING_ewm,TD/ATT_RUSHING_ewm,YDS/REC_RECEIVING_ewm,YDS/TGT_RECEIVING_ewm,REC/TGT_RECEIVING_ewm,TD/TGT_RECEIVING_ewm,Rookie,Career_Years,STD
16393,Christian McCaffrey SF (9),2023,2.0,,20.466666666666665,16.054154995331466,68.38095238095238,0.7600373482726424,5.317460317460317,6.181139122315592,47.41830065359477,0.2567693744164332,0.0,4.315412857855203,0.04254455268625871,8.917541070482246,7.689690010935197,0.8614043011775148,0.041106039715367915,19.564466094067264,15.489411292774829,67.57658657050789,0.6365513599334662,5.242563634350288,6.189656700006602,46.69905497285509,0.2545411816816068,0.0,4.409299233552449,0.037289659042615934,8.90535570778933,7.5654316942829665,0.8484076202406058,0.040713296426863735,0,6,0.0
16483,Austin Ekeler LAC (5),2023,4.0,,17.3,12.158333333333333,54.58700980392157,0.538235294117647,5.356372549019608,6.615196078431372,41.06936274509804,0.33137254901960783,0.12132352941176472,4.492196577325273,0.04353286901190562,7.817827885740658,6.2560060311609975,0.8059899222908102,0.05174856416270388,17.82748402220359,12.189713718025516,54.63461160712269,0.6094113704456819,5.47672179605718,6.739520127235676,41.32750598069754,0.3387561689471803,0.1400263513945727,4.484076874270227,0.04948855317623356,7.7091113765637225,6.1854915296944695,0.8085123906291705,0.05207450569722715,0,6,0.0
17240,Saquon Barkley NYG (13),2023,8.7,,10.466666666666667,13.169642857142856,47.11904761904762,0.25595238095238093,3.1636904761904763,4.440476190476191,23.303571428571427,0.047619047619047616,0.023809523809523808,3.299141712829888,0.015414661365697148,7.448152902581658,5.242690058479532,0.7119883040935672,0.011695906432748537,11.601333748406455,14.213057509618288,54.574171024574625,0.32894432686438174,3.2319744459745356,4.4759659279660475,22.386096758897818,0.04576817728814867,0.022884088644074336,3.593190209237226,0.01931398099815129,7.007207805685755,5.003526493452223,0.721285446663693,0.011241306702352306,0,5,1.5275252316519468
23133,Bijan Robinson ATL (11),2023,8.7,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,1,0.5773502691896257
17246,Nick Chubb CLE (5),2023,10.0,,15.700000000000001,16.627917833800186,89.5170401493931,0.7591036414565826,1.450046685340803,1.8207282913165266,12.995798319327731,0.0434173669467787,0.07119514472455649,5.395796057472599,0.04599357112427869,8.975617283950617,7.250930930930931,0.8062062062062062,0.022342342342342347,15.628817770610045,16.853335721671574,89.59843721721673,0.7294361036290915,1.4793369007643666,1.8980328929411614,13.183390543240177,0.04953596154536685,0.06841437151711571,5.329220015750452,0.04355240615347662,8.921716437112652,7.044330367571099,0.788298787332826,0.025060544757491705,0,5,2.0
15514,Derrick Henry TEN (7),2023,16.7,,20.366666666666664,24.270833333333332,113.3125,1.0416666666666667,1.8333333333333333,2.3333333333333335,17.083333333333332,0.0,0.10416666666666667,4.682616488683398,0.04262830969926259,8.872053872053872,7.028245476003147,0.7725937581956465,0.0,20.05496804440718,24.005203820042826,109.77657891849675,1.009300272860202,1.9243474279873323,2.4008883476483187,19.051776695296635,0.0,0.11327045983049322,4.582233001296489,0.041694419959608806,9.564692379499949,7.698199792849272,0.7918628041240595,0.0,0,7,4.041451884327381
19217,Jonathan Taylor IND (11),2023,17.0,,15.833333333333334,16.998692810457516,85.40424836601308,0.7084967320261438,2.362091503267974,3.0,17.67549019607843,0.06143790849673203,0.14477124183006537,4.99266246018557,0.040821331302220376,7.470899470899471,6.036274509803921,0.7947712418300653,0.02140522875816993,15.204439284373636,17.00992137977036,84.29331000527586,0.6563802486022475,2.3547179679973413,3.0755136398869958,16.69940013869984,0.052794168097050946,0.16606462792754417,4.920881647092648,0.03755021969673189,7.078897042398698,5.574647357221036,0.7723203826846143,0.018227336364741945,0,3,6.244997998398398
18705,Tony Pollard DAL (7),2023,17.3,,10.166666666666666,9.013888888888888,46.019444444444446,0.31527777777777777,2.2624999999999997,3.0013888888888887,19.23888888888889,0.08333333333333333,0.0,5.018438834716473,0.033873566710995534,8.348901098901099,6.298847167325428,0.7523056653491436,0.026515151515151516,11.04047825369471,9.671941997662294,50.03166860169322,0.3542107300027951,2.333814419398341,3.1063113276073393,20.436293674205075,0.09911165235168157,0.0,5.111635944063914,0.03502896691441286,8.639988365752469,6.4964144164629305,0.7514790397014935,0.030377077863632272,0,4,5.8594652770823155
18269,Josh Jacobs LV (13),2023,22.0,,15.133333333333335,17.555555555555554,75.4562091503268,0.7019607843137255,2.9725490196078432,3.6771241830065358,20.865359477124183,0.0,0.1084967320261438,4.260432262234919,0.04024160532699433,7.067911822628804,5.658796296296296,0.8017361111111111,0.0,15.565409196609865,17.819472277649265,78.76454814622387,0.6932815551545239,3.0642973546840206,3.7522855196717213,21.68795041073334,0.0,0.09957429432502947,4.373950363366386,0.03923650170495704,7.1179794828876295,5.771962496666151,0.8116567030480271,0.0,0,4,5.196152422706632
19302,Najee Harris PIT (6),2023,25.7,,13.7,17.029411764705884,65.70588235294117,0.4117647058823529,3.38235294117647,4.323529411764706,20.470588235294116,0.17647058823529413,0.058823529411764705,3.8551326882544545,0.024268298524621576,5.948088332234674,4.644419911682055,0.7804094741067844,0.04425933360096347,13.391168824543144,16.852792628415198,64.86820302081964,0.4117647058823529,3.215826326959538,4.116632709252759,19.269578108517447,0.17647058823529413,0.06891605148551823,3.84592572746201,0.02451999517650163,5.885854993666178,4.588887743607634,0.779238563276068,0.04637730466240653,0,2,3.0550504633038935
