pid,Player,Season,AVG,FPTS_TG,Y/A_PASSING_avg,FPTS/G_MISC_avg,CMP_PASSING/G_avg,ATT_PASSING/G_avg,PCT_PASSING/G_avg,YDS_PASSING/G_avg,Y/A_PASSING/G_avg,TD_PASSING/G_avg,INT_PASSING/G_avg,SACKS_PASSING/G_avg,ATT_RUSHING/G_avg,YDS_RUSHING/G_avg,TD_RUSHING/G_avg,FL_MISC/G_avg,Y/A_PASSING_ewm,FPTS/G_MISC_ewm,CMP_PASSING/G_ewm,ATT_PASSING/G_ewm,PCT_PASSING/G_ewm,YDS_PASSING/G_ewm,Y/A_PASSING/G_ewm,TD_PASSING/G_ewm,INT_PASSING/G_ewm,SACKS_PASSING/G_ewm,ATT_RUSHING/G_ewm,YDS_RUSHING/G_ewm,TD_RUSHING/G_ewm,FL_MISC/G_ewm,Rookie,Career_Years
16413,Patrick Mahomes II (KC),2018,118.0,26.1,8.1,10.4,22.0,35.0,62.9,284.0,8.1,0.0,1.0,2.0,7.0,10.0,0.0,0.0,8.1,10.4,22.0,35.0,62.9,284.0,8.1,0.0,1.0,2.0,7.0,10.0,0.0,0.0,0,1
9444,Matt Ryan (FA),2018,110.5,22.2,8.166666666666666,16.866666666666667,23.375,34.9375,4.185416666666667,283.9583333333333,0.5104166666666666,1.6458333333333333,0.7291666666666666,1.8958333333333333,2.1458333333333335,6.729166666666667,0.0,0.20833333333333334,8.167295401695068,16.7387538594244,22.916053390593273,34.36611652351682,4.170526695296637,279.96028586095736,0.5104559626059417,1.6245832036229824,0.7065173420974213,1.8452593531992154,2.1167059626059417,7.284182385042376,0.0,0.19579403739405826,0,3
9039,Ben Roethlisberger (FA),2018,111.5,21.3,7.833333333333333,18.133333333333333,24.67063492063492,37.61349206349206,4.848888888888889,294.784126984127,0.5807936507936508,1.8960317460317462,1.065079365079365,1.426984126984127,1.41984126984127,2.183333333333333,0.023809523809523808,0.06984126984126983,7.7491950116270845,17.9546918160678,24.402157999971624,37.44723618722584,4.696657459055355,290.1409062643141,0.5597707738497143,1.9058379468192317,1.0224240952881232,1.4009122814350032,1.4950743346157718,2.287507560073273,0.022884088644074336,0.07597363324294687,0,3
16398,Deshaun Watson (CLE),2018,48.0,20.7,8.3,24.1,18.0,29.142857142857142,8.828571428571427,242.71428571428572,1.1857142857142857,2.7142857142857144,1.1428571428571428,2.7142857142857144,5.142857142857143,38.42857142857143,0.2857142857142857,0.14285714285714285,8.3,24.1,18.0,29.142857142857142,8.828571428571427,242.71428571428572,1.1857142857142857,2.7142857142857144,1.1428571428571428,2.7142857142857144,5.142857142857143,38.42857142857143,0.2857142857142857,0.14285714285714285,0,1
11172,Andrew Luck (FA),2018,97.0,20.5,7.1,19.6,23.104761904761904,39.095238095238095,6.066666666666666,275.6904761904762,0.7171428571428572,2.104761904761905,1.2904761904761903,2.4380952380952383,4.4904761904761905,25.366666666666667,0.06666666666666667,0.23809523809523808,7.2201010126776675,19.754415587728428,23.098225795228426,38.62137015406091,5.752116395368016,276.8874012487945,0.6833184903071061,2.0982257952284264,1.2177619719162427,2.488750086979697,4.452076546967005,24.91485809516497,0.07810485835025399,0.25443551192893427,0,2
9001,Aaron Rodgers (NYJ),2018,31.0,19.5,7.0,20.366666666666667,22.916666666666668,35.958333333333336,5.714285714285715,251.61607142857142,0.625,2.2410714285714284,0.5982142857142857,2.7351190476190474,3.7470238095238098,20.854166666666668,0.10416666666666667,0.21428571428571427,7.0281508964068165,20.265961653288613,22.910361263220633,35.71800272860202,6.362759374766041,251.18121638004885,0.6941179656440358,2.275481767121701,0.6417913650514252,2.776101853762027,3.7162139796338405,20.414803001462225,0.09425311773307184,0.2014555172155029,0,3
15501,Jared Goff (DET),2018,118.5,19.4,6.65,12.3,17.866666666666667,30.542857142857144,5.97,204.5857142857143,0.6452380952380952,1.2904761904761906,0.7333333333333334,2.6904761904761907,1.5047619047619047,2.8428571428571425,0.10476190476190475,0.24285714285714285,6.881623381592643,13.106392513692906,18.18693603380711,30.758548757461934,5.656021638285528,212.99523621422603,0.6260382734835023,1.3893348471700526,0.687580566598984,2.514818246763957,1.5668549453299503,2.938447744784266,0.09822579522842628,0.2355040196319796,0,2
9200,Drew Brees (FA),2018,70.0,20.3,7.866666666666667,19.166666666666668,27.365277777777777,39.12083333333333,4.476111111111111,307.0138888888889,0.5025000000000001,1.961111111111111,0.7236111111111111,1.6680555555555554,1.7,0.9777777777777779,0.10555555555555556,0.12777777777777777,7.903886827694888,18.693169447152826,26.825671980408547,38.1235197593946,4.4720350272547895,300.5616204273197,0.5013555066199125,1.875464809154014,0.6930245908658522,1.5751734606680943,1.7574890490211434,0.951721122446368,0.11178511301977578,0.11029976620905838,0,3
11180,Russell Wilson (DEN),2018,57.0,18.7,7.733333333333334,19.833333333333332,21.270833333333332,32.958333333333336,4.04375,254.70833333333334,0.4833333333333334,1.8541666666666667,0.625,2.6875,5.625,29.125,0.10416666666666667,0.16666666666666666,7.609383632135606,19.971572875253813,21.32624201110179,33.431218433538234,3.9956100545720403,254.24357541163263,0.4755864770084754,1.8646934916736546,0.645023577563565,2.6757704598304937,5.590228175868497,29.610049489913447,0.11913522991524662,0.16747642243643499,0,3
15600,Dak Prescott (DAL),2018,151.5,17.9,7.4,17.1,19.34375,29.65625,4.084375,218.46875,0.4625,1.40625,0.53125,1.78125,3.5625,19.96875,0.375,0.21875,7.297056274847715,16.962741699796954,19.327665042944957,29.82246122290213,4.05810290347676,216.62970324337326,0.4560660171779822,1.4008883476483187,0.579504871165134,1.818781566461771,3.5625,20.370873926376117,0.375,0.21338834764831843,0,2
