pid,Player,Season,AVG,FPTS_TG,FPTS/G_MISC_avg,ATT_RUSHING/G_avg,YDS_RUSHING/G_avg,TD_RUSHING/G_avg,REC_RECEIVING/G_avg,TGT_RECEIVING/G_avg,YDS_RECEIVING/G_avg,TD_RECEIVING/G_avg,FL_MISC/G_avg,YDS/ATT_RUSHING_avg,TD/ATT_RUSHING_avg,YDS/REC_RECEIVING_avg,YDS/TGT_RECEIVING_avg,REC/TGT_RECEIVING_avg,TD/TGT_RECEIVING_avg,FPTS/G_MISC_ewm,ATT_RUSHING/G_ewm,YDS_RUSHING/G_ewm,TD_RUSHING/G_ewm,REC_RECEIVING/G_ewm,TGT_RECEIVING/G_ewm,YDS_RECEIVING/G_ewm,TD_RECEIVING/G_ewm,FL_MISC/G_ewm,YDS/ATT_RUSHING_ewm,TD/ATT_RUSHING_ewm,YDS/REC_RECEIVING_ewm,YDS/TGT_RECEIVING_ewm,REC/TGT_RECEIVING_ewm,TD/TGT_RECEIVING_ewm,Rookie,Career_Years,STD
11594,Travis Kelce KC (10),2023,5.3,,15.466666666666667,0.08088235294117647,0.16053921568627452,0.020833333333333332,6.406862745098039,8.994281045751634,81.13946078431373,0.6672385620915033,0.06266339869281046,2.0,0.25,12.62587050630529,8.98789040279546,0.7114631019133011,0.07399120549701582,15.276402805491298,0.09335090092971512,0.19333009719715777,0.020023577563565046,6.359661592617067,8.924139631237047,79.57219351693719,0.6661646806389858,0.061778178442256665,2.085786437626905,0.20710678118654754,12.483845332878959,8.890336063073807,0.7118955398840838,0.07447335616134033,0,8,0.5773502691896258
17269,Mark Andrews BAL (13),2023,28.7,,11.666666666666666,0.08627450980392158,0.17777777777777778,0.0,5.101213818860877,7.606349206349205,62.19897292250234,0.4542483660130719,0.0,1.3333333333333333,0.0,12.136190930267807,8.118969716249778,0.6681516711449037,0.06087225718927958,11.632313952441077,0.1094620879242205,0.24164364763838553,0.0,5.160016998268585,7.720583187057477,62.57627367244798,0.43390922014291755,0.0,1.5620971670050798,0.0,12.070089820344256,8.050605046230288,0.666064619857618,0.05691388948395185,0,5,3.2145502536643185
18290,T.J. Hockenson MIN (13),2023,43.0,,9.533333333333333,0.020833333333333332,0.0,0.0,4.776552287581699,6.966911764705881,49.17851307189542,0.35375816993464054,0.04044117647058824,0.0,0.0,10.325442934014639,7.0613877832966025,0.6854078264969354,0.05117887204002792,9.667962275898295,0.014158807478811652,0.0,0.0,4.8692854790948275,7.110771846745997,50.16162393170675,0.35165649595297194,0.04081068038010417,0.0,0.0,10.321890939227037,7.055452482094862,0.6849890807358673,0.049787509433505926,0,4,4.358898943540674
16499,George Kittle SF (9),2023,49.3,,11.866666666666667,0.15476190476190477,1.1845238095238095,0.0,5.023809523809524,6.77420634920635,65.08333333333333,0.4706349206349206,0.046031746031746035,7.583333333333334,0.0,12.925078247261347,9.54656398817705,0.7382994431485278,0.07449426524142011,11.735924551796591,0.12528749584746962,0.9390812271610829,0.0,4.796343168983088,6.532783286985901,61.885062354661436,0.5261997772824727,0.05308954459887252,7.426058197684008,0.0,12.875264943504208,9.411638114164564,0.7306932793087826,0.08559371464144881,0,6,7.094598884597588
14104,Darren Waller NYG (13),2023,62.7,,10.533333333333333,0.0,0.0,0.0,4.93287037037037,7.431607744107744,59.438552188552194,0.3592171717171717,0.041666666666666664,,,12.375207347169964,8.140689770143686,0.6601638915475996,0.05111392790726418,9.849195011627083,0.0,0.0,0.0,4.526466549875299,6.926395374635328,55.83505574176145,0.3367069545409396,0.028317614957623305,,,12.684248877942036,8.247714859369696,0.6516720214596022,0.05256135455376167,0,7,2.8867513459481287
17270,Dallas Goedert PHI (10),2023,63.3,,9.033333333333333,0.0,0.0,0.0,4.166161616161616,5.575252525252526,53.823232323232325,0.2631313131313131,0.027777777777777776,,,12.992123094297007,9.718834712198557,0.7472119540769425,0.0474212286569266,9.145308183932197,0.0,0.0,0.0,4.220053066786787,5.567116152826846,55.02441389743199,0.26048827794863977,0.037756819943497735,,,13.112016796813323,9.934740282907432,0.757540897734911,0.04701690521241561,0,5,10.598742063723098
20164,Kyle Pitts ATL (11),2023,63.7,,7.300000000000001,0.0,0.0,0.0,3.4,6.185294117647059,47.976470588235294,0.12941176470588237,0.0,,,13.90126050420168,7.680585516178737,0.5463790446841295,0.021494607087827425,7.11126983722081,0.0,0.0,0.0,3.2970562748477144,6.136345385589355,45.85300394391756,0.1415227911943866,0.0,,,13.697607826642013,7.398058656727664,0.534059636383933,0.02362274521693863,0,2,7.234178138070235
16411,Evan Engram JAC (9),2023,81.7,,6.8,0.18643790849673203,0.7299019607843137,0.020833333333333332,3.7660947712418302,5.814624183006536,37.71127450980392,0.1659313725490196,0.04305555555555555,2.611111111111111,0.05555555555555555,9.914556094425064,6.468455875500886,0.6510055322870634,0.030362176289392213,6.999056897457399,0.1596150734099243,0.6505278939624975,0.014158807478811652,3.82008179874508,5.714362799133402,38.389455689196396,0.1848417472873899,0.03551729021328103,2.9655775510726428,0.03775681994349774,9.947573345317782,6.691282685429076,0.6703177814380762,0.033737681346967675,0,6,8.736894948054106
20163,Pat Freiermuth PIT (6),2023,86.3,,7.699999999999999,0.0,0.0,0.0,3.975,5.735416666666667,39.93125,0.28541666666666665,0.03125,,,9.951190476190476,6.880263497804185,0.7011754068716094,0.05450787910100749,7.7171572875253815,0.0,0.0,0.0,4.013603896932108,5.8723175233796026,41.45288693740723,0.2593232918884831,0.025888347648318443,,,10.23734952170308,6.981341240510544,0.6911695746348366,0.04865729280973834,0,2,11.239810200058244
16399,David Njoku CLE (5),2023,95.7,,5.8,0.06984126984126983,-0.16825396825396824,0.0,2.668131868131868,3.8261294261294263,30.96947496947497,0.23540903540903538,0.023809523809523808,-1.5,0.0,11.744185655710156,8.05236391238343,0.6864725656039905,0.06481240511819562,6.339811379491479,0.0860844597804655,-0.23754542544951507,0.0,2.977056979971612,4.226399179856616,34.18102192883805,0.2497383342084831,0.03236298852299806,-1.928932188134525,0.0,11.672625323364283,8.091901896753356,0.6945224244130523,0.062457018083236754,0,6,4.618802153517006
