Rank_x,Player,REC_RECEIVING,TGT_RECEIVING,YDS_RECEIVING,Y/R_RECEIVING,LG_RECEIVING,20+_RECEIVING,TD_RECEIVING,ATT_RUSHING,YDS_RUSHING,TD_RUSHING,FL_MISC,G_MISC,FPTS_MISC,FPTS/G_MISC,ROST_MISC,Season,pid,Rank_y,Player Team (Bye),POS,Yahoo,Sleeper,RTSports,AVG
64,Jordan Leggett (FA),14,25,114,8.1,16,0,1,0,0,0,0,15,24.4,1.6,0.0%,2018,16458,351.0,Jordan Leggett,TE49,,,,335.0
65,Garrett Celek (FA),5,8,90,18.0,41,4,2,0,0,0,0,15,23.5,1.6,0.0%,2018,11507,272.0,Garrett Celek,TE33,,,,250.0
66,MyCole Pruitt (ATL),9,11,102,11.3,27,1,1,0,0,0,0,15,20.7,1.4,0.0%,2018,13964,,,,,,,
67,Austin Seferian-Jenkins (FA),11,19,90,8.2,21,1,1,0,0,0,0,5,20.5,4.1,0.0%,2018,12145,167.0,Austin Seferian-Jenkins,TE17,,,,172.5
68,Logan Paulsen (FA),9,9,91,10.1,19,0,1,0,0,0,0,15,19.6,1.3,0.0%,2018,9850,476.0,Logan Paulsen,TE73,,,,464.0
69,Scott Simonson (FA),9,14,86,9.6,24,1,1,0,0,0,0,16,19.1,1.2,0.0%,2018,13839,,,,,,,
70,Nick O'Leary (FA),8,10,86,10.8,19,0,1,0,0,0,0,12,18.6,1.6,0.0%,2018,13957,475.0,Nick O'Leary,TE72,,,,463.0
71,Dalton Schultz (HOU),12,17,116,9.7,17,0,0,0,0,0,0,11,17.6,1.6,77.9%,2018,17349,,,,,,,
72,Derek Carrier (FA),7,12,67,9.6,23,1,1,0,0,0,0,16,16.2,1.0,0.0%,2018,11417,425.0,Derek Carrier,TE60,,,,412.0
73,Seth DeValve (FA),5,7,74,14.8,26,2,1,0,0,0,0,13,15.9,1.2,0.0%,2018,15671,464.0,Seth DeValve,TE67,,,,452.0
74,Robert Tonyan (CHI),4,6,77,19.3,54,4,1,0,0,0,0,16,15.7,1.0,0.7%,2018,16502,,,,,,,
75,Adam Shaheen (FA),5,6,48,9.6,23,1,1,0,0,0,0,6,15.3,2.6,0.0%,2018,16457,299.0,Adam Shaheen,TE40,,,,281.0
76,Luke Willson (FA),13,19,87,6.7,13,0,0,0,0,0,0,14,15.2,1.1,0.0%,2018,11812,252.0,Luke Willson,TE28,,,,226.0
77,Niles Paul (FA),10,13,98,9.8,22,1,0,1,-3,0,0,6,14.5,2.4,0.0%,2018,9988,452.0,Niles Paul,TE63,,,,440.0
78,Logan Thomas (WAS),12,17,77,6.4,24,1,0,0,0,0,0,12,14.3,1.2,1.8%,2018,12095,,,,,,,
79,Jeremy Sprinkle (FA),5,9,41,8.2,15,0,1,0,0,0,0,16,12.6,0.8,0.0%,2018,16461,,,,,,,
80,Darren Waller (NYG),6,6,75,12.5,44,3,0,1,21,0,0,4,12.6,3.2,98.5%,2018,14104,,,,,,,
81,Jake Butt (FA),8,13,85,10.6,22,2,0,0,0,0,0,3,12.5,4.2,0.1%,2018,16456,241.0,Jake Butt O,TE27,,,,214.0
82,A.J. Derby (FA),3,5,48,16.0,19,0,1,0,0,0,0,4,12.3,3.1,0.0%,2018,14072,469.0,A.J. Derby,TE70,,,,457.0
83,Chris Manhertz (DEN),2,5,52,26.0,50,4,1,0,0,0,0,16,12.2,0.8,0.0%,2018,14014,,,,,,,
84,Jermaine Gresham (FA),9,12,94,10.4,26,1,0,0,0,0,1,13,11.9,0.9,0.0%,2018,9685,459.0,Jermaine Gresham,TE65,,,,447.0
85,Eric Tomlinson (HOU),8,14,72,9.0,24,1,0,0,0,0,0,15,11.2,0.7,0.0%,2018,14339,407.0,Eric Tomlinson HOU (10) O,TE57,,,,394.0
86,Blake Bell (KC),8,11,67,8.4,16,0,0,0,0,0,0,10,10.7,1.1,0.1%,2018,13966,,,,,,,
87,Tyler Conklin (NYJ),5,7,77,15.4,33,3,0,0,0,0,0,16,10.2,0.6,9.5%,2018,17598,,,,,,,
88,Xavier Grimble (FA),6,8,86,14.3,23,2,0,0,0,0,1,16,9.6,0.6,0.0%,2018,12149,352.0,Xavier Grimble,TE50,,,,336.0
89,Matt Lengel (FA),3,8,17,5.7,9,0,1,0,0,0,0,11,9.2,0.8,0.0%,2018,14079,,,,,,,
90,Joshua Perkins (FA),5,11,67,13.4,30,2,0,0,0,0,0,9,9.2,1.0,0.0%,2018,16233,,,,,,,
91,David Grinnage (FA),6,8,61,10.2,24,1,0,0,0,0,0,4,9.1,2.3,0.0%,2018,15855,,,,,,,
92,Antony Auclair (FA),7,8,48,6.9,12,0,0,0,0,0,0,16,8.3,0.5,0.0%,2018,16501,,,,,,,
93,Durham Smythe (MIA),6,11,50,8.3,21,1,0,0,0,0,0,15,8.0,0.5,0.2%,2018,17508,,,,,,,
94,Neal Sterling (FA),6,8,47,7.8,12,0,0,0,0,0,0,5,7.7,1.5,0.0%,2018,14116,,,,,,,
95,Eric Saubert (MIA),5,9,48,9.6,17,0,0,0,0,0,0,16,7.3,0.5,0.1%,2018,16706,,,,,,,
96,Jacob Hollister (LV),4,5,52,13.0,23,1,0,0,0,0,0,8,7.2,0.9,0.0%,2018,16527,435.0,Jacob Hollister LV (),TE62,,,,422.0
97,Delanie Walker (FA),4,7,52,13.0,16,0,0,0,0,0,0,1,7.2,7.2,0.1%,2018,9172,78.0,Delanie Walker O,TE7,,,,77.5
98,David Morgan II (FA),5,6,36,7.2,13,0,0,0,0,0,0,11,6.1,0.6,0.0%,2018,15857,,,,,,,
99,Rico Gathers (FA),3,7,45,15.0,32,2,0,0,0,0,0,15,6.0,0.4,0.0%,2018,15808,306.0,Rico Gathers,TE42,,,,289.0
100,Brian Parker (FA),5,10,33,6.6,11,0,0,0,0,0,0,13,5.8,0.4,0.0%,2018,14332,,,,,,,
101,Ben Braunecker (FA),3,5,42,14.0,20,1,0,0,0,0,0,15,5.7,0.4,0.0%,2018,15842,,,,,,,
102,Tyler Kroft (MIA),4,6,36,9.0,16,0,0,0,0,0,0,5,5.6,1.1,0.1%,2018,13960,333.0,Tyler Kroft MIA (11) O,TE47,,,,317.0
103,Marcedes Lewis (CHI),3,4,39,13.0,30,2,0,0,0,0,0,16,5.4,0.3,0.0%,2018,9413,373.0,Marcedes Lewis CHI (5),TE53,,,,358.0
104,John Phillips (FA),3,3,38,12.7,24,1,0,0,0,0,0,8,5.3,0.7,0.0%,2018,9312,,,,,,,
105,Jordan Franks (FA),2,3,37,18.5,32,2,0,0,0,0,0,6,4.7,0.8,0.0%,2018,17660,,,,,,,
106,Dwayne Allen (FA),3,4,27,9.0,21,1,0,0,0,0,0,13,4.2,0.3,0.0%,2018,11219,332.0,Dwayne Allen,TE46,,,,316.0
107,Orson Charles (FA),3,5,23,7.7,9,0,0,0,0,0,0,13,3.8,0.3,0.0%,2018,11224,,,,,,,
108,Sean Culkin (FA),1,1,24,24.0,24,1,0,0,0,0,0,13,2.9,0.2,0.0%,2018,16912,,,,,,,
109,Tyrone Swoopes (FA),1,1,23,23.0,23,1,0,0,0,0,0,1,2.8,2.8,0.0%,2018,17094,,,,,,,
110,Ross Dwelley (SF),2,2,14,7.0,8,0,0,0,0,0,0,11,2.4,0.2,0.0%,2018,17886,,,,,,,
111,Hakeem Valles (FA),2,3,11,5.5,6,0,0,0,0,0,0,3,2.1,0.7,0.0%,2018,15924,,,,,,,
112,Dion Sims (FA),2,4,9,4.5,9,0,0,0,0,0,0,8,1.9,0.2,0.0%,2018,11691,,,,,,,
113,Alan Cross (FA),2,5,9,4.5,6,0,0,0,0,0,0,14,1.9,0.1,0.0%,2018,16217,,,,,,,
114,Matt Flanagan (FA),1,2,14,14.0,14,0,0,0,0,0,0,3,1.9,0.6,0.0%,2018,18018,,,,,,,
115,Richard Rodgers (FA),1,1,7,7.0,7,0,0,0,0,0,0,7,1.2,0.2,0.0%,2018,12233,,,,,,,
116,Johnny Mundt (MIN),1,1,5,5.0,5,0,0,0,0,0,0,10,1.0,0.1,0.1%,2018,16743,,,,,,,
117,Khari Lee (FA),1,1,5,5.0,5,0,0,0,0,0,0,2,1.0,0.5,0.0%,2018,14119,,,,,,,
118,Jordan Matthews (FA),20,28,300,15.0,56,8,2,0,0,0,0,14,0.0,0.0,0.0%,2018,12124,236.0,Jordan Matthews,WR82,,,,209.0
119,Kelvin Benjamin (FA),25,67,380,15.2,40,11,1,0,0,0,0,15,0.0,0.0,0.1%,2018,12121,104.0,Kelvin Benjamin,WR43,,,,108.0
120,Clark Harris (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018,9128,,,,,,,
121,Taysom Hill (NO),3,7,4,1.3,5,0,0,37,196,2,1,16,0.0,0.0,14.2%,2018,17115,,,,,,,
122,Shane Smith (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%,2018,17131,,,,,,,
123,Cole Wick (FA),0,1,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2018,16179,,,,,,,
124,Mitchell Loewen (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2018,16251,,,,,,,
125,Mason Schreck (HOU),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%,2018,16541,,,,,,,
126,Darrell Daniels (DET),0,2,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,2018,16582,,,,,,,
127,Garrett Dickerson (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2018,18136,,,,,,,
128,James Looney (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2018,17589,,,,,,,
129,Deon Yelder (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2018,17879,,,,,,,
130,Donnie Ernsberger (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2018,17819,,,,,,,
131,Zach Wood (NO),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018,16132,,,,,,,
132,Clive Walford (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2018,13956,388.0,Clive Walford,TE56,,,,374.0
133,Jerome Cunningham (FA),0,1,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2018,13849,,,,,,,
134,Kyle Nelson (FA),0,0,0,0.0,0,0,0,0,0,0,0,12,0.0,0.0,0.0%,2018,13862,,,,,,,
135,Devin Funchess (FA),44,79,549,12.5,27,8,4,0,0,0,0,14,0.0,0.0,0.0%,2018,13915,81.0,Devin Funchess,WR34,,,,79.5
136,Ben Koyack (FA),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%,2018,13958,,,,,,,
137,Jake Fisher (FA),0,0,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,2018,14031,,,,,,,
138,Ryan Hewitt (FA),1,2,1,1.0,1,0,1,0,0,0,0,12,0.0,0.0,0.0%,2018,12881,,,,,,,
139,Alex Ellis (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2018,16064,,,,,,,
140,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2018,15392,,,,,,,
141,Bronson Kaufusi (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2018,15574,,,,,,,
142,Patrick Scales (CHI),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018,15325,,,,,,,
143,Temarrick Hemingway (FA),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2018,15913,,,,,,,
144,Kevin McDermott (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018,15371,,,,,,,
145,Tyler Ott (BAL),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018,15298,,,,,,,
146,Gabe Holmes (FA),0,0,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%,2018,14282,,,,,,,
147,James Winchester (KC),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018,15246,,,,,,,
148,Daniel Brown (FA),0,0,0,0.0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%,2018,14470,,,,,,,
149,Beau Brinkley (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%,2018,15196,,,,,,,
1,Travis Kelce (KC),97,136,1229,12.7,47,21,5,1,4,1,1,16,205.8,12.9,100.0%,2019,11594,17.0,Travis Kelce KC (12),TE1,14.0,,,16.3
2,George Kittle (SF),85,107,1053,12.4,61,25,5,5,22,0,0,14,180.0,12.9,99.1%,2019,16499,25.0,George Kittle SF (4),TE2,21.0,,,26.0
3,Darren Waller (NYG),90,117,1145,12.7,75,23,3,2,5,0,1,16,176.0,11.0,98.5%,2019,14104,205.0,Darren Waller NYG (11),TE22,,,,192.0
4,Mark Andrews (BAL),64,98,852,13.3,51,25,10,0,0,0,1,15,175.2,11.7,99.9%,2019,17269,131.0,Mark Andrews BAL (8),TE13,131.0,,,140.0
5,Zach Ertz (ARI),88,135,916,10.4,30,13,6,0,0,0,1,15,171.6,11.4,20.8%,2019,11689,30.0,Zach Ertz ARI (12),TE3,26.0,,,30.0
6,Austin Hooper (LV),75,97,787,10.5,35,11,6,0,0,0,0,13,154.2,11.9,1.0%,2019,15581,119.0,Austin Hooper LV (),TE12,108.0,,,124.3
7,Jared Cook (FA),43,65,705,16.4,61,23,9,0,0,0,0,14,146.0,10.4,0.0%,2019,9265,71.0,Jared Cook,TE7,63.0,,,71.7
8,Tyler Higbee (LAR),69,89,734,10.6,33,13,3,0,0,0,0,15,125.9,8.4,70.1%,2019,15623,,,,,,,
9,Hunter Henry (NE),55,76,652,11.9,30,9,5,0,0,0,1,12,122.7,10.2,7.0%,2019,15561,60.0,Hunter Henry NE (10),TE6,56.0,,,62.3
10,Dallas Goedert (PHI),58,87,607,10.5,28,8,5,0,0,0,2,15,115.7,7.7,96.6%,2019,17270,227.0,Dallas Goedert PHI (10),TE25,,,,201.0
11,Mike Gesicki (NE),51,89,570,11.2,34,10,5,0,0,0,1,16,110.5,6.9,19.5%,2019,17272,253.0,Mike Gesicki NE (10),TE27,,,,237.0
12,Jason Witten (FA),63,83,529,8.4,33,3,4,0,0,0,1,16,108.4,6.8,0.0%,2019,9275,171.0,Jason Witten,TE19,117.0,,,188.5
13,Greg Olsen (FA),52,82,597,11.5,41,9,2,0,0,0,0,14,97.7,7.0,7.0%,2019,9238,145.0,Greg Olsen,TE14,152.0,,,150.3
14,Kyle Rudolph (FA),39,48,367,9.4,32,4,6,0,0,0,0,16,94.2,5.9,0.0%,2019,9906,164.0,Kyle Rudolph,TE17,132.0,,,149.0
15,Darren Fells (FA),34,48,341,10.0,24,2,7,0,0,0,0,16,93.1,5.8,0.0%,2019,13636,,,,,,,
16,Noah Fant (SEA),40,66,562,14.1,75,18,3,3,-12,0,1,16,91.0,5.7,3.3%,2019,17527,212.0,Noah Fant SEA (11),TE24,196.0,,,188.0
17,Jack Doyle (FA),43,72,448,10.4,23,4,4,0,0,0,0,16,90.3,5.6,2.0%,2019,11987,228.0,Jack Doyle,TE26,,,,202.0
18,Evan Engram (JAC),44,68,467,10.6,75,9,3,3,7,0,0,8,87.4,10.9,92.9%,2019,16411,57.0,Evan Engram JAC (10) O,TE5,54.0,,,58.7
19,Jonnu Smith (ATL),35,44,439,12.5,57,14,3,4,78,0,0,16,87.2,5.5,0.3%,2019,16460,453.0,Jonnu Smith ATL (9),TE56,,,,456.0
20,Tyler Eifert (FA),43,63,436,10.1,27,4,3,0,0,0,0,16,85.1,5.3,0.0%,2019,11692,198.0,Tyler Eifert,TE21,164.0,,,214.0
21,Jimmy Graham (NO),38,60,447,11.8,48,9,3,0,0,0,0,16,81.7,5.1,0.3%,2019,9712,169.0,Jimmy Graham NO (9),TE18,181.0,,,170.7
22,Ryan Griffin (FA),34,41,320,9.4,45,6,5,0,0,0,0,13,81.0,6.2,0.0%,2019,11830,,,,,,,
23,Jacob Hollister (LV),41,59,349,8.5,22,3,3,0,0,0,0,11,73.4,6.7,0.0%,2019,16527,,,,,,,
24,Cameron Brate (FA),36,55,311,8.6,37,2,4,0,0,0,0,16,73.1,4.6,2.0%,2019,13470,346.0,Cameron Brate,TE38,,,,348.0
25,Jordan Akins (CLE),36,55,418,11.6,53,7,2,0,0,0,0,16,71.8,4.5,0.1%,2019,17415,,,,,,,
26,Gerald Everett (LAC),37,60,408,11.0,33,9,2,1,0,0,0,13,71.3,5.5,49.4%,2019,16459,284.0,Gerald Everett LAC (12),TE31,,,,278.0
27,Eric Ebron (FA),31,52,375,12.1,48,8,3,0,0,0,0,11,71.0,6.5,0.0%,2019,12143,94.0,Eric Ebron O,TE10,91.0,,,98.3
28,Blake Jarwin (FA),31,41,365,11.8,42,11,3,0,0,0,0,16,70.0,4.4,4.0%,2019,16638,326.0,Blake Jarwin,TE36,,,,328.0
29,O.J. Howard (FA),34,53,459,13.5,33,11,1,0,0,0,1,14,66.9,4.8,0.1%,2019,16380,54.0,O.J. Howard,TE4,50.0,,,55.3
30,Dawson Knox (BUF),28,50,388,13.9,49,11,2,1,9,0,0,15,65.7,4.4,21.3%,2019,18631,422.0,Dawson Knox BUF (6),TE49,,,,424.0
31,T.J. Hockenson (MIN),32,59,367,11.5,39,7,2,0,0,0,0,12,64.7,5.4,99.2%,2019,18290,158.0,T.J. Hockenson MIN (12) O,TE16,198.0,,,161.7
32,Vance McDonald (FA),38,55,273,7.2,22,2,3,1,2,0,0,14,64.5,4.6,0.0%,2019,11699,83.0,Vance McDonald,TE8,80.0,,,84.7
33,Will Dissly (SEA),23,27,262,11.4,38,4,4,1,7,0,0,6,62.4,10.4,0.3%,2019,18049,378.0,Will Dissly SEA (11) O,TE42,,,,380.0
34,Hayden Hurst (CAR),30,39,349,11.6,61,7,2,0,0,0,0,16,61.9,3.9,7.6%,2019,17283,313.0,Hayden Hurst CAR (7),TE33,,,,315.0
35,Irv Smith Jr. (CIN),36,47,311,8.6,29,5,2,0,0,0,0,16,61.1,3.8,12.0%,2019,18610,254.0,Irv Smith Jr. CIN (9),TE28,,,,238.0
36,Kaden Smith (WAS),31,42,268,8.6,32,4,3,0,0,0,0,9,60.3,6.7,0.0%,2019,18293,,,,,,,
37,Nick Boyle (FA),31,43,321,10.4,35,5,2,0,0,0,0,16,59.6,3.7,0.0%,2019,13963,,,,,,,
38,Foster Moreau (NO),21,25,174,8.3,23,1,5,0,0,0,0,13,57.9,4.5,0.7%,2019,18397,455.0,Foster Moreau NO (9),TE57,,,,458.0
39,Josh Hill (FA),25,35,226,9.0,29,4,3,0,0,0,0,16,53.1,3.3,0.0%,2019,13565,424.0,Josh Hill,TE51,,,,426.0
40,Ricky Seals-Jones (IND),14,22,229,16.4,59,9,4,0,0,0,1,14,51.9,3.7,0.0%,2019,16730,308.0,Ricky Seals-Jones IND (6),TE32,,,,309.0
41,C.J. Uzomah (NYJ),27,40,242,9.0,36,3,2,0,0,0,0,16,49.7,3.1,0.2%,2019,14084,354.0,C.J. Uzomah NYJ (4),TE40,,,,356.0
42,Delanie Walker (FA),21,31,215,10.2,29,1,2,0,0,0,0,7,44.0,6.3,0.1%,2019,9172,111.0,Delanie Walker O,TE11,118.0,,,118.0
43,Jeremy Sprinkle (FA),26,40,241,9.3,23,2,1,0,0,0,0,16,43.1,2.7,0.0%,2019,16461,,,,,,,
44,Demetrius Harris (FA),15,27,149,9.9,23,2,3,0,0,0,0,15,42.4,2.8,0.0%,2019,11881,395.0,Demetrius Harris,TE44,,,,397.0
45,Charles Clay (FA),18,24,237,13.2,47,6,1,0,0,0,0,15,38.7,2.6,0.0%,2019,10003,449.0,Charles Clay,TE54,,,,452.0
46,James O'Shaughnessy (FA),14,20,153,10.9,35,2,2,0,0,0,0,5,34.3,6.9,0.0%,2019,14146,420.0,James O'Shaughnessy O,TE47,,,,422.0
47,Maxx Williams (FA),15,19,202,13.5,28,5,1,0,0,0,0,16,33.7,2.1,0.0%,2019,13919,,,,,,,
48,Anthony Firkser (NE),14,24,204,14.6,39,6,1,0,0,0,0,15,33.4,2.2,0.0%,2019,16787,,,,,,,
49,Rhett Ellison (FA),18,28,167,9.3,31,4,1,0,0,0,0,10,31.7,3.2,0.0%,2019,11315,,,,,,,
50,Logan Thomas (WAS),16,28,173,10.8,17,0,1,0,0,0,0,16,31.3,2.0,1.8%,2019,12095,,,,,,,
51,Marcedes Lewis (CHI),15,19,156,10.4,25,2,1,0,0,0,0,16,29.1,1.8,0.0%,2019,9413,,,,,,,
52,Dan Arnold (PHI),8,14,127,15.9,37,4,2,0,0,0,0,6,28.7,4.8,0.1%,2019,17143,,,,,,,
53,Ross Dwelley (SF),15,22,91,6.1,25,1,2,0,0,0,0,16,28.6,1.8,0.0%,2019,17886,,,,,,,
54,Ian Thomas (CAR),16,30,136,8.5,19,0,1,0,0,0,0,16,27.6,1.7,0.1%,2019,17387,275.0,Ian Thomas CAR (7),TE30,,,,269.0
55,Derek Carrier (FA),13,19,108,8.3,25,2,1,1,27,0,0,16,26.0,1.6,0.0%,2019,11417,,,,,,,
56,Benjamin Watson (FA),17,24,173,10.2,26,3,0,0,0,0,0,10,25.8,2.6,2.8%,2019,9040,321.0,Benjamin Watson,TE35,,,,323.0
57,Matt LaCosse (FA),13,19,131,10.1,24,3,1,0,0,0,0,12,25.6,2.1,0.0%,2019,14288,258.0,Matt LaCosse,TE29,,,,242.0
58,Jaeden Graham (FA),9,10,149,16.6,53,6,1,0,0,0,0,16,25.4,1.6,0.0%,2019,18135,,,,,,,
59,Nick Vannett (HOU),17,22,166,9.8,18,0,0,0,0,0,0,16,25.1,1.6,0.0%,2019,15645,370.0,Nick Vannett HOU (10),TE41,,,,372.0
60,Jeff Heuerman (FA),14,20,114,8.1,26,1,1,0,0,0,0,14,24.4,1.7,0.0%,2019,13961,423.0,Jeff Heuerman,TE50,,,,425.0
61,Nick O'Leary (FA),13,18,109,8.4,19,0,1,0,0,0,0,12,23.4,2.0,0.0%,2019,13957,,,,,,,
62,Vernon Davis (FA),10,19,123,12.3,48,3,1,0,0,0,0,4,23.3,5.8,1.6%,2019,9621,425.0,Vernon Davis,TE52,,,,427.0
63,Jesse James (NO),16,27,142,8.9,23,1,0,0,0,0,0,16,22.2,1.4,0.0%,2019,13959,353.0,Jesse James NO (9),TE39,,,,355.0
64,Robert Tonyan (CHI),10,15,100,10.0,28,2,1,0,0,0,0,11,21.0,1.9,0.7%,2019,16502,,,,,,,
65,Ryan Izzo (FA),6,9,114,19.0,41,5,1,0,0,0,0,6,20.4,3.4,0.0%,2019,17541,,,,,,,
66,Hale Hentges (FA),8,14,103,12.9,24,2,1,0,0,0,0,11,20.3,1.8,0.0%,2019,18785,,,,,,,
67,Seth DeValve (FA),12,18,140,11.7,20,1,0,0,0,0,0,12,20.0,1.7,0.0%,2019,15671,,,,,,,
68,Andrew Beck (HOU),9,12,90,10.0,29,1,1,1,3,0,0,16,20.0,1.3,0.0%,2019,18748,,,,,,,
69,Joshua Perkins (FA),9,13,87,9.7,24,1,1,0,0,0,0,5,19.2,3.8,0.0%,2019,16233,,,,,,,
70,Virgil Green (FA),9,13,78,8.7,15,0,1,0,0,0,0,15,18.3,1.2,0.0%,2019,10026,,,,,,,
71,MyCole Pruitt (ATL),6,8,90,15.0,42,4,1,0,0,0,0,16,18.0,1.1,0.0%,2019,13964,,,,,,,
72,Jesper Horsted (LV),8,10,87,10.9,20,1,1,0,0,0,1,6,16.7,2.8,0.0%,2019,18482,,,,,,,
73,Daniel Brown (FA),7,11,72,10.3,24,2,1,0,0,0,0,16,16.7,1.0,0.0%,2019,14470,,,,,,,
74,Tyler Kroft (MIA),6,14,71,11.8,20,1,1,0,0,0,0,12,16.1,1.3,0.1%,2019,13960,451.0,Tyler Kroft MIA (5),TE55,,,,454.0
75,Tommy Sweeney (NYG),8,13,114,14.3,29,3,0,0,0,0,0,6,15.4,2.6,0.0%,2019,18325,,,,,,,
76,Trey Burton (FA),14,24,84,6.0,16,0,0,0,0,0,0,9,15.4,1.7,0.0%,2019,12153,157.0,Trey Burton O,TE15,176.0,,,161.0
77,Ben Braunecker (FA),6,11,59,9.8,18,0,1,0,0,0,0,11,14.9,1.4,0.0%,2019,15842,,,,,,,
78,Stephen Carlson (CHI),5,7,51,10.2,21,1,1,0,0,0,0,9,13.6,1.5,0.0%,2019,18757,,,,,,,
79,Mo Alie-Cox (IND),8,11,93,11.6,21,1,0,0,0,0,0,16,13.3,0.8,0.2%,2019,16579,,,,,,,
80,Geoff Swaim (ARI),13,17,65,5.0,9,0,0,0,0,0,0,6,13.0,2.2,0.0%,2019,14164,317.0,Geoff Swaim ARI (12),TE34,,,,319.0
81,Troy Fumagalli (SF),6,9,38,6.3,9,0,1,0,0,0,0,11,12.8,1.2,0.0%,2019,17273,,,,,,,
82,J.P. Holtz (NO),7,8,91,13.0,30,2,0,0,0,0,0,15,12.6,0.8,0.0%,2019,16022,,,,,,,
83,David Njoku (CLE),5,10,41,8.2,18,0,1,0,0,0,0,4,12.6,3.2,90.3%,2019,16399,90.0,David Njoku CLE (7),TE9,84.0,,,93.0
84,Adam Shaheen (FA),9,13,74,8.2,18,0,0,0,0,0,1,8,11.9,1.5,0.0%,2019,16457,,,,,,,
85,Luke Willson (FA),8,10,79,9.9,17,0,0,0,0,0,0,9,11.9,1.3,0.0%,2019,11812,,,,,,,
86,Lee Smith (FA),4,5,31,7.8,9,0,1,0,0,0,0,16,11.1,0.7,0.0%,2019,9992,,,,,,,
87,Blake Bell (KC),8,15,67,8.4,30,2,0,0,0,0,0,15,10.7,0.7,0.1%,2019,13966,,,,,,,
88,Durham Smythe (MIA),7,14,65,9.3,24,1,0,0,0,0,0,16,10.0,0.6,0.2%,2019,17508,,,,,,,
89,Tyler Conklin (NYJ),8,10,58,7.3,20,1,0,0,0,0,0,16,9.8,0.6,9.5%,2019,17598,,,,,,,
90,Luke Stocker (FA),8,14,53,6.6,18,0,0,0,0,0,0,15,9.3,0.6,0.0%,2019,9948,,,,,,,
91,Cethan Carter (FA),2,3,13,6.5,8,0,1,0,0,0,0,15,8.3,0.6,0.0%,2019,16543,,,,,,,
92,Clive Walford (FA),4,8,57,14.3,19,0,0,0,4,0,0,8,8.1,1.0,0.0%,2019,13956,,,,,,,
93,Deon Yelder (FA),3,4,50,16.7,24,1,0,0,0,0,0,10,6.5,0.7,0.0%,2019,17879,,,,,,,
94,Lance Kendricks (FA),3,7,50,16.7,24,1,0,0,0,0,0,12,6.5,0.5,0.0%,2019,9912,,,,,,,
95,Trevon Wesco (TEN),2,3,47,23.5,32,2,0,1,2,0,0,16,5.9,0.4,0.1%,2019,18567,,,,,,,
96,Drew Sample (CIN),5,6,30,6.0,21,1,0,0,0,0,0,9,5.5,0.6,0.1%,2019,18561,,,,,,,
97,Ross Travis (FA),4,6,51,12.8,25,1,0,0,0,0,1,3,5.1,1.7,0.0%,2019,14613,,,,,,,
98,Johnny Mundt (MIN),4,7,26,6.5,9,0,0,0,0,0,0,14,4.6,0.3,0.1%,2019,16743,,,,,,,
99,Pharaoh Brown (IND),2,3,27,13.5,18,0,0,0,0,0,0,9,3.7,0.4,0.0%,2019,16937,,,,,,,
100,Tanner Hudson (CIN),2,5,26,13.0,14,0,0,0,0,0,0,9,3.6,0.4,0.0%,2019,17826,,,,,,,
101,Codey McElroy (FA),1,1,30,30.0,30,2,0,0,0,0,0,1,3.5,3.5,0.0%,2019,17914,,,,,,,
