Rank_x,Player,REC_RECEIVING,TGT_RECEIVING,YDS_RECEIVING,Y/R_RECEIVING,LG_RECEIVING,20+_RECEIVING,TD_RECEIVING,ATT_RUSHING,YDS_RUSHING,TD_RUSHING,FL_MISC,G_MISC,FPTS_MISC,FPTS/G_MISC,ROST_MISC,Season,pid,Rank_y,Player Team (Bye),POS,Yahoo,Sleeper,RTSports,AVG
62,Anthony Fasano (FA),12,16,107,8.9,29,2,1,0,0,0,0,16,22.7,1.4,0.1%,2017,9023,,,,,,,
63,Eric Tomlinson (HOU),8,11,121,15.1,34,4,1,0,0,0,0,14,22.1,1.6,0.0%,2017,14339,,,,,,,
64,Josh Hill (FA),16,22,125,7.8,22,1,1,1,-8,0,2,16,21.7,1.4,0.0%,2017,13565,,,,,,,
65,Maxx Williams (FA),15,18,86,5.7,17,0,1,2,6,0,1,11,20.7,1.9,0.0%,2017,13919,,,,,,,
66,David Morgan II (FA),10,12,95,9.5,23,1,1,0,0,0,0,15,20.5,1.4,0.0%,2017,15857,,,,,,,
67,C.J. Uzomah (NYJ),10,15,92,9.2,21,2,1,0,0,0,0,14,20.2,1.4,0.2%,2017,14084,,,,,,,
68,C.J. Fiedorowicz (FA),14,22,127,9.1,15,0,0,0,0,0,0,5,19.7,3.9,0.0%,2017,12146,,,,,,,
69,Dwayne Allen (FA),10,22,86,8.6,22,1,1,0,0,0,0,16,19.6,1.2,0.0%,2017,11219,,,,,,,
70,Daniel Brown (FA),13,20,129,9.9,17,0,0,0,0,0,0,14,19.4,1.4,0.0%,2017,14470,,,,,,,
71,Brandon Williams (FA),13,17,121,9.3,32,2,0,0,0,0,0,14,18.6,1.3,0.0%,2017,11981,,,,,,,
72,James Hanna (FA),4,9,88,22.0,31,2,1,0,0,0,0,16,16.8,1.1,0.0%,2017,11354,,,,,,,
73,Niles Paul (FA),13,19,94,7.2,32,1,0,2,4,0,0,14,16.3,1.2,0.0%,2017,9988,,,,,,,
74,Logan Thomas (WAS),7,9,67,9.6,22,2,1,0,0,0,0,12,16.2,1.4,1.8%,2017,12095,,,,,,,
75,Michael Hoomanawanui (FA),6,10,52,8.7,25,1,1,0,0,0,0,14,14.2,1.0,0.1%,2017,9740,,,,,,,
76,Austin Traylor (FA),8,13,100,12.5,34,1,0,0,0,0,0,7,14.0,2.0,0.0%,2017,16129,,,,,,,
77,Jerell Adams (FA),8,11,92,11.5,38,1,0,0,0,0,0,16,13.2,0.8,0.0%,2017,15831,,,,,,,
78,Clive Walford (FA),9,13,80,8.9,26,1,0,0,0,0,0,13,12.5,1.0,0.0%,2017,13956,,,,,,,
79,Phillip Supernaw (FA),4,6,39,9.8,20,1,1,0,0,0,0,16,11.9,0.7,0.0%,2017,12922,,,,,,,
80,Xavier Grimble (FA),5,9,32,6.4,12,0,1,0,0,0,0,15,11.7,0.8,0.0%,2017,12149,,,,,,,
81,Lee Smith (FA),8,11,76,9.5,21,1,0,0,0,0,0,16,11.6,0.7,0.0%,2017,9992,,,,,,,
