pid,Player,Season,AVG,FPTS_TG_pred,STD,Position
14104,Darren Waller NYG (13),2023,65.7,8.822733322040014,4.509249752822894,te
16406,Chris Godwin TB (5),2023,66.7,11.936001001591286,5.507570547286102,wr
13971,Tyler Lockett SEA (5),2023,66.7,11.709045787327568,10.214368964029708,wr
22739,Javonte Williams DEN (9),2023,67.0,9.807392873091135,13.0,rb
16377,Mike Williams LAC (5),2023,68.7,10.401144374177512,6.6583281184793925,wr
19252,Brandon Aiyuk SF (9),2023,69.7,10.64627447587586,2.081665999466133,wr
23891,Rachaad White TB (5),2023,69.7,8.979380393501566,13.796134724383252,rb
24333,Isiah Pacheco KC (10),2023,70.3,8.504518045125781,7.023769168568493,rb
18239,David Montgomery DET (9),2023,75.3,9.77042310591229,4.041451884327381,rb
17268,Christian Kirk JAC (9),2023,75.3,10.486060900651362,11.67618659209133,wr
19278,Michael Pittman Jr. IND (11),2023,76.3,10.006578218148555,5.131601439446884,wr
15600,Dak Prescott DAL (7),2023,77.7,19.254327308802306,9.451631252505218,qb
22958,James Cook BUF (13),2023,81.0,9.729111309467196,9.539392014169456,rb
12119,Mike Evans TB (5),2023,81.0,10.415477427904545,4.358898943540674,wr
16411,Evan Engram JAC (9),2023,81.7,7.6421936891869136,10.11599393699568,te
16398,Deshaun Watson CLE (5),2023,82.7,18.362929679447515,4.509249752822894,qb
18615,Diontae Johnson PIT (6),2023,83.0,9.035686149376865,7.0,wr
18226,Marquise Brown ARI (14),2023,84.0,9.163319960789588,14.52583904633395,wr
22963,George Pickens PIT (6),2023,87.3,9.540935002406394,10.11599393699568,wr
19358,AJ Dillon GB (6),2023,88.3,8.35907303056906,9.018499505645789,rb
20163,Pat Freiermuth PIT (6),2023,88.7,7.54982277007335,8.504900548115383,te
19198,Tua Tagovailoa MIA (10),2023,90.3,16.003237164026448,4.041451884327381,qb
23070,Jaxon Smith-Njigba SEA (5),2023,93.0,9.620588551820063,14.730919862656236,wr
20094,Brian Robinson Jr. WAS (14),2023,93.3,8.4820481471706,8.082903768654761,rb
17308,Rashaad Penny PHI (10),2023,95.0,8.05041579730832,3.4641016151377544,rb
23101,Jahan Dotson WAS (14),2023,95.3,9.087572531580717,11.015141094572204,wr
23107,Jordan Addison MIN (13),2023,96.0,9.254723664871776,15.394804318340652,wr
16399,David Njoku CLE (5),2023,96.7,7.687817658198937,3.055050463303893,te
16424,Jamaal Williams NO (11),2023,98.0,9.392153845553908,8.18535277187245,rb
19624,Antonio Gibson WAS (14),2023,98.0,8.715544438707608,18.520259177452136,rb
22905,Treylon Burks TEN (7),2023,99.0,8.131173760749355,16.09347693943108,wr
12122,Brandin Cooks DAL (7),2023,100.0,9.321954223789458,7.54983443527075,wr
22763,Khalil Herbert CHI (13),2023,101.3,7.336068643861292,6.6583281184793925,rb
19398,Gabe Davis BUF (13),2023,101.7,8.112950329813494,4.041451884327381,wr
11177,Kirk Cousins MIN (13),2023,107.0,18.292941542980838,4.358898943540674,qb
9001,Aaron Rodgers NYJ (7),2023,107.0,16.82067366522364,6.0,qb
15528,Michael Thomas NO (11),2023,107.7,9.298884264314118,8.621678104251709,wr
16423,Samaje Perine DEN (9),2023,109.0,7.352352178986939,7.937253933193772,rb
18232,Daniel Jones NYG (13),2023,109.0,16.785952149041435,12.12435565298214,qb
18230,Damien Harris BUF (13),2023,109.7,6.900060527693791,4.509249752822894,rb
20119,Kadarius Toney KC (10),2023,109.7,8.169420989974647,17.039170558842745,wr
12127,Odell Beckham Jr. BAL (13),2023,114.7,7.336610551427343,5.507570547286102,wr
23152,Zach Charbonnet SEA (5),2023,115.3,6.417446518081683,21.22105872319601,rb
20114,Elijah Moore CLE (5),2023,115.7,7.552182290811881,7.234178138070236,wr
11687,Geno Smith SEA (5),2023,116.0,16.065152518116793,7.0,qb
24347,Anthony Richardson IND (11),2023,116.3,17.83518612657183,15.01110699893027,qb
23136,De'Von Achane MIA (10),2023,119.7,6.8871382842708,37.4477413649119,rb
22813,Elijah Mitchell SF (9),2023,121.7,7.727455764612085,5.131601439446884,rb
17253,Courtland Sutton DEN (9),2023,121.7,8.211049356271308,33.6501609703926,wr
15501,Jared Goff DET (9),2023,124.7,16.714287605648305,19.5021366350801,qb
23982,Chigoziem Okonkwo TEN (7),2023,125.7,7.35401572295953,8.504900548115383,te
16427,JuJu Smith-Schuster NE (11),2023,126.7,7.263238063155166,32.715949219506584,wr
12209,Jerick McKinnon KC (10),2023,127.0,7.450590015726306,14.730919862656236,rb
23123,Quentin Johnston LAC (5),2023,127.7,7.267904781303729,37.09896674212549,wr
23677,Jameson Williams DET (9),2023,128.0,5.202709987717989,16.522711641858304,wr
17349,Dalton Schultz HOU (7),2023,128.3,6.825314664005297,16.441816606851365,te
23153,Greg Dulcich DEN (9),2023,128.7,7.547310044247119,6.506407098647712,te
19229,Cole Kmet CHI (13),2023,130.0,6.957787596423473,4.0,te
22916,Zay Flowers BAL (13),2023,131.0,7.7098194514083715,31.76476034853718,wr
25247,Dalton Kincaid BUF (13),2023,135.0,7.588105700896689,32.07802986469088,te
24172,Tyler Allgeier ATL (11),2023,136.0,6.507878358013298,8.660254037844387,rb
17301,Allen Lazard NYJ (7),2023,138.0,6.969962510399626,23.81176179958132,wr
19794,Rashod Bateman BAL (13),2023,139.3,7.581017311646463,21.07921567168317,wr
16407,D'Onta Foreman CHI (13),2023,142.7,6.272401624963298,27.934447074057744,rb
23905,Skyy Moore KC (10),2023,142.7,5.922094432132838,24.00694344004112,wr
13429,Adam Thielen CAR (7),2023,143.3,7.093877651356698,27.42869543622761,wr
18280,Devin Singletary HOU (7),2023,144.0,6.0864790797267005,11.789826122551595,rb
11180,Russell Wilson DEN (9),2023,146.3,16.239259956709958,28.37839553839035,qb
15498,Ezekiel Elliott,2023,148.3,8.620747198300627,9.073771725877464,rb
14338,Raheem Mostert MIA (10),2023,149.0,6.746412945835182,17.349351572897472,rb
22900,Bryce Young CAR (7),2023,152.3,16.170911497629366,16.19670748434179,qb
24360,Kendre Miller NO (11),2023,153.3,6.524256596818564,28.431203515386635,rb
19797,Brock Purdy SF (9),2023,155.7,15.233929195011328,23.115651263447745,qb
22722,Kenny Pickett PIT (6),2023,156.7,17.694450742115023,25.00666577801473,qb
23794,Romeo Doubs GB (6),2023,157.7,7.065661581113412,19.13983629327412,wr
19298,Donovan Peoples-Jones CLE (5),2023,158.0,7.2955179179571745,36.76955262170047,wr
24209,Jaylen Warren PIT (6),2023,158.7,6.203787942330457,33.17127271199182,rb
15547,Tyler Boyd CIN (7),2023,159.3,6.717708767753298,26.102362600602525,wr
15623,Tyler Higbee LAR (10),2023,159.7,6.748325335630717,40.12895878705718,te
18598,Jakobi Meyers LV (13),2023,159.7,7.07980290829144,35.47299442298794,wr
19796,Rondale Moore ARI (14),2023,160.7,7.2987151181858385,35.019042438840806,wr
22908,Tank Bigsby JAC (9),2023,161.7,6.210283159679022,47.47982027486344,rb
22978,Sam LaPorta DET (9),2023,161.7,6.076933516963201,30.61590000854676,te
20130,Nico Collins HOU (7),2023,162.0,7.175368000811437,23.81176179958132,wr
25322,Roschon Johnson CHI (13),2023,162.3,4.881095955581778,22.233608194203057,rb
19246,Jordan Love GB (6),2023,162.7,10.24365657596372,10.263202878893768,qb
23071,C.J. Stroud HOU (7),2023,162.7,14.83311142032571,24.440403706431148,qb
19792,Chuba Hubbard CAR (7),2023,163.0,5.827065441374852,8.54400374531753,rb
18026,Jeff Wilson Jr. MIA (10),2023,164.7,4.56129509997993,11.930353445448857,rb
