Player,ATT_RUSHING,YDS_RUSHING,TDS_RUSHING,REC_RECEIVING,YDS_RECEIVING,TDS_RECEIVING,FL_MISC,FPTS_MISC_proj,Season,pid,FPTS_MISC_real,FPTS/G_MISC
Dare Ogunbowale HOU,24.9,103.0,0.8,5.6,46.8,0.2,0.1,23.1,2020,16879,24.9,1.8
Travis Homer CHI,10.2,57.4,0.5,8.6,76.0,0.2,0.1,21.9,2020,18616,28.3,3.1
Justice Hill BAL,24.8,90.2,0.8,5.7,43.6,0.1,0.4,21.3,2020,18256,10.5,0.9
Rico Dowdle DAL,23.8,103.9,0.8,4.1,37.9,0.1,0.0,21.2,2020,19647,2.4,0.2
Eno Benjamin NO,21.8,100.8,0.8,4.6,33.2,0.1,0.1,21.0,2020,19361,,
Jeff Wilson Jr. MIA,24.2,97.6,1.1,2.3,15.9,0.1,0.2,18.9,2020,18026,135.8,11.3
Ke'Shawn Vaughn TB,21.2,85.2,0.5,4.6,35.7,0.1,0.1,18.0,2020,19351,20.8,2.1
Qadree Ollison JAC,16.7,76.1,1.1,2.6,19.2,0.1,0.1,17.6,2020,18480,0.3,0.1
J.J. Taylor NE,21.9,82.1,0.6,3.4,32.7,0.1,0.0,17.1,2020,19438,11.9,2.0
Trayveon Williams CIN,23.8,73.3,0.3,4.1,32.2,0.1,0.1,15.0,2020,18607,19.2,1.9
Khari Blasingame CHI,13.2,38.1,0.1,6.2,49.6,0.3,0.1,14.2,2020,18847,5.9,0.4
D'Ernest Johnson JAC,16.0,55.8,0.3,3.9,37.3,0.1,0.0,13.9,2020,19111,19.5,1.2
Alec Ingold MIA,6.3,38.1,0.3,5.6,39.6,0.2,0.1,13.7,2020,18571,23.4,1.5
Patrick Laird TB,13.4,44.6,0.2,4.9,40.0,0.1,0.0,12.4,2020,18332,17.0,1.1
Patrick Ricard BAL,1.0,2.5,0.0,6.5,46.0,0.3,0.0,10.3,2020,17145,12.9,0.9
Ameer Abdullah LV,6.8,23.4,0.2,3.9,32.4,0.2,0.1,9.4,2020,13924,26.0,1.6
Alex Armah Jr. WAS,8.6,21.4,0.6,2.7,11.3,0.0,0.0,8.6,2020,16707,5.2,0.3
Keith Smith ATL,4.7,21.0,0.2,4.1,25.0,0.2,0.0,8.5,2020,13192,12.1,0.8
Andrew Beck HOU,0.9,3.5,0.0,4.0,29.2,0.2,0.0,6.2,2020,18748,0.0,0.0
Andrew Beck HOU,0.9,3.5,0.0,4.0,29.2,0.2,0.0,6.2,2020,18748,0.0,0.0
Jakob Johnson LV,2.9,11.7,0.1,1.9,15.4,0.1,0.0,4.6,2020,18673,13.5,0.8
Michael Burton DEN,1.9,4.7,0.0,2.7,17.3,0.1,0.0,4.4,2020,14191,6.6,0.4
Samaje Perine DEN,3.8,14.8,0.1,1.5,11.3,0.0,0.0,4.2,2020,16423,60.2,3.8
Nick Bellore SEA,0.9,2.4,0.0,2.4,15.5,0.1,0.0,3.8,2020,10978,0.0,0.0
Taquan Mizzell NYG,3.4,13.8,0.2,0.9,6.6,0.0,0.0,3.5,2020,16835,,
