Player,ATT_RUSHING,YDS_RUSHING,TDS_RUSHING,REC_RECEIVING,YDS_RECEIVING,TDS_RECEIVING,FL_MISC,FPTS_MISC_proj,Season,pid,FPTS_MISC_real,FPTS/G_MISC
James Robinson NYG,146.1,584.5,4.6,23.2,174.3,0.7,0.8,117.9,2022,19631,83.1,7.6
Raheem Mostert MIA,130.3,650.7,4.4,16.3,126.1,0.9,1.2,115.3,2022,14338,152.8,9.6
Nyheim Hines BUF,75.1,288.7,2.0,44.7,356.7,1.9,0.4,109.1,2022,17297,66.4,4.2
Jamaal Williams NO,133.3,558.0,3.6,22.5,149.2,0.8,0.2,108.1,2022,16424,219.9,12.9
James Cook BUF,93.1,402.1,2.9,30.6,240.9,1.7,0.4,106.4,2022,22958,97.0,5.7
Brian Robinson Jr. WAS,130.9,562.6,4.4,16.4,122.2,0.5,0.6,104.6,2022,20094,108.2,9.0
Kenneth Walker III SEA,151.7,573.5,4.1,16.1,110.6,0.4,0.5,102.5,2022,23021,189.0,12.6
Kenneth Gainwell PHI,87.7,363.3,3.4,30.4,242.6,1.2,0.7,101.9,2022,23310,76.4,4.5
Alexander Mattison MIN,109.1,438.4,2.8,24.7,182.8,0.9,0.4,96.1,2022,18621,80.9,4.8
Rachaad White TB,87.3,345.2,3.0,21.3,165.0,1.1,0.4,85.7,2022,23891,114.1,6.7
Khalil Herbert CHI,111.6,402.5,2.6,18.4,137.0,0.6,0.3,81.8,2022,22763,113.3,8.7
Tyler Allgeier ATL,127.2,477.6,2.7,12.9,93.3,0.3,0.4,80.9,2022,24172,151.4,9.5
Ameer Abdullah LV,37.0,175.6,0.9,35.7,257.6,1.4,0.1,74.8,2022,13924,41.6,2.6
Jerick McKinnon KC,46.3,212.5,1.6,27.6,217.4,1.3,0.3,73.6,2022,12209,168.3,9.9
Marlon Mack ARI,135.0,389.5,2.7,12.3,84.7,0.5,0.1,72.6,2022,16444,34.3,4.3
Zamir White LV,97.2,352.9,3.1,9.4,65.1,0.3,0.3,66.6,2022,20095,7.0,0.6
Gus Edwards BAL,93.4,398.6,3.0,6.2,50.4,0.2,0.5,66.3,2022,17687,59.3,6.6
D'Onta Foreman CHI,74.2,376.9,2.5,7.0,60.1,0.2,0.9,61.4,2022,16407,128.5,8.0
Boston Scott PHI,69.3,296.3,2.7,8.8,64.1,0.2,0.4,57.6,2022,17612,43.7,2.9
Samaje Perine DEN,57.3,215.6,1.2,19.9,139.4,0.6,0.2,55.6,2022,16423,123.1,7.7
Ronald Jones II DAL,53.1,261.2,2.7,9.3,62.5,0.2,0.5,53.7,2022,17243,15.7,3.1
Isaiah Spiller LAC,61.4,245.7,1.8,12.4,92.2,0.4,0.2,52.5,2022,23143,6.9,1.4
Eno Benjamin NO,60.0,243.3,1.7,12.3,98.1,0.3,0.3,52.3,2022,19361,77.1,5.9
Matt Breida NYG,65.8,271.8,1.3,12.1,91.0,0.5,0.7,51.8,2022,17058,49.8,2.9
Isiah Pacheco KC,55.5,224.3,2.0,10.6,71.3,0.4,0.3,48.5,2022,24333,128.5,7.6
J.J. Taylor NE,0.0,235.9,2.0,7.8,57.2,0.3,0.2,46.2,2022,19438,2.2,2.2
Jeff Wilson Jr. MIA,46.1,172.6,1.6,11.2,83.5,0.6,0.3,43.4,2022,18026,147.5,9.2
Chuba Hubbard CAR,44.2,186.3,1.2,12.8,89.3,0.5,0.3,43.3,2022,19792,80.7,5.8
D'Ernest Johnson JAC,34.2,197.4,1.4,9.7,77.0,0.2,0.1,42.0,2022,19111,3.9,0.4
Kyle Juszczyk SF,11.7,37.3,0.5,22.5,171.0,1.0,0.2,40.9,2022,11798,44.1,3.4
Kenyan Drake IND,27.0,152.2,1.0,13.5,90.4,0.5,0.1,39.7,2022,15637,95.6,8.0
Tyler Goodson GB,0.0,170.3,1.6,7.8,63.8,0.4,0.2,38.7,2022,22976,0.0,0.0
Ke'Shawn Vaughn TB,44.5,188.1,1.7,6.8,48.3,0.1,0.4,37.2,2022,19351,8.7,1.0
Hassan Haskins TEN,51.4,204.0,1.2,7.0,50.2,0.2,0.2,37.1,2022,23798,20.5,1.5
Chris Evans CIN,27.3,99.9,0.6,15.3,111.3,0.8,0.1,36.6,2022,22797,11.3,1.1
Anthony McFarland Jr. PIT,35.0,165.8,1.0,7.1,52.7,0.7,0.2,35.5,2022,19366,5.1,5.1
Myles Gaskin MIA,34.3,168.8,1.0,10.9,68.6,0.2,0.5,35.3,2022,17251,7.4,3.7
Zack Moss IND,43.9,180.3,1.4,5.6,41.4,0.2,0.1,34.6,2022,19263,59.0,4.5
Craig Reynolds DET,31.7,171.7,1.1,7.6,55.3,0.2,0.2,34.0,2022,19074,26.3,3.8
Joshua Kelley LAC,45.0,177.0,1.3,6.8,46.0,0.2,0.6,33.5,2022,19445,57.8,4.8
Tyrion Davis-Price SF,34.8,159.9,1.4,6.6,45.9,0.2,0.2,33.3,2022,22992,9.9,2.0
Travis Homer CHI,15.3,80.7,0.6,12.4,98.0,0.6,0.1,30.8,2022,18616,35.1,2.9
Ty Montgomery NE,17.5,70.9,0.3,15.3,118.9,0.3,0.2,29.7,2022,13977,8.8,8.8
Ty Montgomery NE,17.5,70.9,0.3,15.3,118.9,0.3,0.2,29.7,2022,13977,0.0,0.0
Brandon Bolden LV,19.0,75.8,0.5,12.5,104.0,0.3,0.1,28.8,2022,11410,23.8,2.0
Trey Sermon PHI,26.7,129.9,1.1,6.5,42.7,0.2,0.1,28.0,2022,19425,1.9,1.9
Deon Jackson IND,29.8,126.1,1.1,6.1,44.0,0.3,0.2,27.6,2022,20097,69.5,5.8
Dare Ogunbowale HOU,12.6,91.7,0.6,10.3,82.2,0.3,0.1,27.5,2022,16879,38.7,2.6
Kyren Williams LAR,18.6,120.0,1.3,5.6,43.9,0.1,0.2,27.2,2022,23059,26.0,3.3
Pierre Strong Jr. NE,13.1,114.3,1.1,5.9,43.0,0.2,0.2,25.8,2022,24173,23.7,2.4
Snoop Conner JAC,25.2,127.6,0.9,6.1,41.6,0.1,0.2,25.7,2022,23027,10.2,2.0
Jaylen Warren PIT,29.5,134.0,1.0,5.1,32.5,0.1,0.2,25.4,2022,24209,79.3,5.0
DeeJay Dallas SEA,18.3,89.2,0.6,9.2,62.3,0.2,0.2,24.6,2022,19521,38.7,2.6
Royce Freeman LAR,22.4,120.1,0.7,6.2,42.0,0.2,0.0,24.6,2022,17245,16.0,3.2
Qadree Ollison JAC,9.9,119.4,1.0,5.9,37.8,0.2,0.6,24.5,2022,18480,0.0,0.0
Gary Brightwell NYG,24.5,99.7,0.8,6.2,44.3,0.1,0.1,22.5,2022,23293,26.5,1.8
Patrick Taylor Jr. GB,0.0,112.8,1.0,3.0,20.4,0.1,0.3,21.0,2022,19544,5.3,0.8
Jermar Jefferson DET,23.7,98.5,0.6,5.0,34.0,0.1,0.0,19.8,2022,20088,0.0,0.0
Trestan Ebner CHI,9.8,75.0,0.6,6.0,46.2,0.2,0.1,19.5,2022,24047,5.2,0.5
Darrynton Evans BUF,21.9,94.8,0.6,4.8,35.1,0.1,0.0,19.4,2022,19418,10.2,3.4
Tony Jones Jr. DEN,26.4,106.5,0.5,4.4,31.2,0.1,0.1,19.2,2022,19482,7.9,2.6
Jonathan Williams WAS,9.7,89.6,0.7,4.9,37.2,0.2,0.5,19.1,2022,15611,22.7,2.5
Jerome Ford CLE,8.5,74.4,0.6,5.1,36.1,0.2,0.1,18.0,2022,22921,1.2,0.1
Ty Chandler MIN,16.0,76.4,0.3,6.6,43.5,0.1,0.1,17.9,2022,19471,2.0,1.0
Kene Nwangwu MIN,21.4,82.8,0.6,3.8,23.8,0.1,0.1,16.8,2022,23249,10.5,0.8
C.J. Ham MIN,5.5,15.3,0.1,9.4,68.4,0.3,0.0,15.7,2022,16209,26.3,2.4
Demetric Felton Jr. CLE,0.0,19.5,0.1,8.6,73.3,0.2,0.1,15.6,2022,20105,1.4,0.2
Demetric Felton Jr. CLE,0.0,19.5,0.1,8.6,73.3,0.2,0.1,15.6,2022,20105,0.0,0.0
Jordan Mason SF,13.9,72.3,0.6,3.9,23.3,0.1,0.1,15.5,2022,22969,31.8,2.7
Keith Smith ATL,8.1,32.7,0.2,7.9,53.8,0.3,0.1,15.5,2022,13192,1.5,0.2
Jonathan Ward TEN,4.6,43.6,0.3,5.7,45.9,0.3,0.1,15.2,2022,19974,4.2,1.1
Rico Dowdle DAL,16.0,64.9,0.4,4.4,34.7,0.2,0.1,15.1,2022,19647,0.0,0.0
Trayveon Williams CIN,4.4,77.1,0.5,3.8,21.6,0.1,0.5,14.5,2022,18607,7.0,0.8
Keaontay Ingram ARI,20.6,84.6,0.2,2.6,18.9,0.0,0.1,13.0,2022,23162,16.1,1.5
Alec Ingold MIA,4.3,14.9,0.1,6.5,48.1,0.3,0.0,12.3,2022,18571,30.8,2.6
Mike Boone HOU,8.4,46.5,0.3,3.9,27.7,0.1,0.1,12.0,2022,17813,24.3,3.0
Patrick Ricard BAL,2.6,7.9,0.1,6.4,43.9,0.3,0.0,10.7,2022,17145,14.5,1.1
Justice Hill BAL,10.3,44.2,0.4,2.6,18.2,0.1,0.0,10.5,2022,18256,36.0,2.4
Jake Funk IND,6.9,41.2,0.3,3.0,21.5,0.1,0.1,10.4,2022,23190,0.0,0.0
JaMycal Hasty JAC,5.9,24.6,0.2,4.2,30.1,0.2,0.1,9.6,2022,19627,60.0,4.3
Andrew Beck HOU,4.7,18.8,0.2,4.4,33.0,0.2,0.0,9.4,2022,18748,0.0,0.0
Andrew Beck HOU,4.7,18.8,0.2,4.4,33.0,0.2,0.0,9.4,2022,18748,9.4,1.0
Jakob Johnson LV,4.0,16.5,0.2,4.4,32.6,0.3,0.1,9.4,2022,18673,3.5,0.3
Alex Armah Jr. WAS,5.9,23.5,0.2,3.9,27.7,0.2,0.0,9.3,2022,16707,0.0,0.0
Michael Burton DEN,5.8,23.7,0.3,3.5,25.2,0.2,0.0,9.3,2022,14191,2.8,0.2
Giovanni Ricci CAR,4.5,18.2,0.1,4.0,31.2,0.2,0.0,8.8,2022,19756,14.0,1.3
Julius Chestnut TEN,4.5,18.8,0.1,3.8,28.0,0.2,0.0,8.2,2022,24689,6.8,1.1
Khari Blasingame CHI,2.4,9.8,0.1,3.8,29.2,0.2,0.0,7.4,2022,18847,0.0,0.0
Jason Cabinda DET,3.0,12.5,0.1,3.6,26.6,0.2,0.0,7.3,2022,17429,0.0,0.0
Trevon Wesco TEN,0.0,0.0,0.0,3.5,36.5,0.3,0.0,6.9,2022,18567,5.6,0.9
Reggie Gilliam BUF,0.0,0.0,0.0,4.4,32.5,0.2,0.0,6.8,2022,19844,18.1,2.3
Reggie Gilliam BUF,0.0,0.0,0.0,4.4,32.5,0.2,0.0,6.8,2022,19844,0.0,0.0
Salvon Ahmed MIA,7.6,31.8,0.2,1.0,7.7,0.0,0.0,6.0,2022,19449,13.7,2.0
Adam Prentice NO,4.4,18.7,0.1,2.0,14.7,0.1,0.0,5.9,2022,23451,3.3,0.6
Brittain Brown LV,3.8,15.6,0.1,2.1,15.4,0.1,0.0,5.5,2022,24572,0.0,0.0
Godwin Igwebuike ATL,2.2,9.1,0.1,2.0,15.2,0.1,0.0,4.5,2022,17352,1.2,0.2
Zander Horvath LAC,4.4,18.4,0.2,0.0,0.0,0.0,0.0,2.7,2022,23933,16.1,2.0
Larry Rountree III LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,19537,4.3,1.4
Spencer Brown BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,22781,,
Nate McCrary GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,23512,0.0,0.0
Malik Davis DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,24205,31.4,5.2
Jaret Patterson WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,20155,7.8,3.9
Ty'Son Williams ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,19636,1.0,1.0
Christian McCaffrey SF,216.9,1004.4,7.5,75.0,636.2,4.2,1.0,269.5,2023,16393,313.9,18.5
Austin Ekeler LAC,191.2,861.2,9.4,77.6,599.5,3.9,1.7,261.0,2023,16483,319.2,18.8
Josh Jacobs LV,266.6,1237.7,9.8,40.6,297.0,0.9,1.7,234.6,2023,18269,301.8,17.8
Nick Chubb CLE,274.4,1365.4,9.2,27.5,234.4,1.1,1.6,232.4,2023,17246,267.9,15.8
Derrick Henry TEN,304.4,1335.2,9.1,31.9,270.2,0.8,2.0,232.3,2023,15514,286.3,17.9
Saquon Barkley NYG,251.7,1124.4,7.9,51.9,367.3,1.7,1.2,230.3,2023,17240,255.5,16.0
Bijan Robinson ATL,240.7,1150.9,8.5,41.2,339.1,2.1,1.9,229.1,2023,23133,0.0,0.0
Tony Pollard DAL,218.0,1081.9,7.9,44.8,372.4,2.1,0.8,226.6,2023,18705,229.3,14.3
Joe Mixon CIN,236.4,982.0,7.7,51.0,372.8,2.2,1.1,217.9,2023,16420,210.7,14.0
Jonathan Taylor IND,267.1,1239.5,8.5,32.7,231.3,1.0,2.2,216.0,2023,19217,132.4,11.0
Rhamondre Stevenson NE,218.9,1044.7,6.5,55.8,383.3,1.5,1.6,215.2,2023,22726,214.6,12.6
Aaron Jones GB,201.8,993.0,5.6,51.4,385.2,2.8,1.3,210.9,2023,16673,219.1,12.9
Breece Hall NYJ,191.4,952.2,6.7,40.6,361.2,2.2,1.2,202.5,2023,22982,105.6,15.1
Najee Harris PIT,262.2,1034.6,6.8,40.4,272.9,2.3,1.5,202.4,2023,19302,203.0,11.9
Travis Etienne Jr. JAC,221.1,1084.7,6.5,36.4,292.5,1.0,2.3,196.3,2023,19231,187.6,11.0
Alexander Mattison MIN,214.8,935.8,8.0,33.4,229.4,1.6,1.2,188.1,2023,18621,80.9,4.8
James Conner ARI,212.3,907.2,6.9,41.4,300.8,1.3,1.3,188.0,2023,16447,177.2,13.6
Kenneth Walker III SEA,227.3,1034.7,8.2,27.6,183.3,0.7,0.6,187.6,2023,23021,189.0,12.6
Jahmyr Gibbs DET,177.3,778.1,6.5,44.2,348.8,2.0,1.5,182.4,2023,22968,0.0,0.0
Dameon Pierce HOU,256.1,1072.0,5.8,32.6,215.9,1.1,2.3,182.0,2023,22947,151.4,11.6
Rachaad White TB,206.4,843.8,4.6,46.9,337.4,1.9,2.5,175.4,2023,23891,114.1,6.7
Miles Sanders CAR,214.3,1002.7,6.0,29.8,209.2,0.8,1.4,174.0,2023,18283,206.7,12.2
Isiah Pacheco KC,196.8,940.4,6.9,25.0,204.3,0.7,1.9,168.9,2023,24333,128.5,7.6
J.K. Dobbins BAL,178.1,907.3,6.9,23.3,167.3,1.6,0.7,168.7,2023,19245,77.7,9.7
Cam Akers LAR,235.2,971.0,6.4,24.5,203.4,0.7,2.1,167.7,2023,19268,134.8,9.0
David Montgomery DET,195.0,782.0,6.3,33.2,278.9,1.1,1.3,164.9,2023,18239,160.7,10.0
Alvin Kamara NO,173.5,722.2,3.8,43.6,374.4,1.8,1.1,163.0,2023,16421,183.2,12.2
Javonte Williams DEN,170.4,794.5,4.6,36.5,256.8,1.7,1.5,158.3,2023,22739,34.0,8.5
D'Andre Swift PHI,125.5,584.1,5.1,42.0,343.0,1.9,0.9,154.1,2023,19210,167.1,11.9
James Cook BUF,147.5,756.6,4.5,34.7,261.2,1.7,1.4,153.6,2023,22958,97.0,5.7
AJ Dillon GB,169.3,737.3,5.8,25.9,205.2,0.8,0.9,144.8,2023,19358,153.6,9.0
Brian Robinson Jr. WAS,213.5,896.4,4.5,16.3,105.9,0.7,0.7,137.9,2023,20094,108.2,9.0
Antonio Gibson WAS,134.3,542.6,3.5,43.4,314.9,1.5,1.3,134.8,2023,19624,142.9,9.5
Samaje Perine DEN,148.8,625.6,3.8,29.1,233.7,1.5,0.6,131.2,2023,16423,123.1,7.7
Khalil Herbert CHI,152.9,764.9,4.3,18.6,125.2,0.7,0.6,127.0,2023,22763,113.3,8.7
Jeff Wilson Jr. MIA,141.6,651.6,4.5,22.6,173.8,1.1,1.5,124.0,2023,18026,147.5,9.2
Rashaad Penny PHI,161.5,774.7,5.3,9.1,61.2,0.3,1.0,119.7,2023,17308,50.2,10.0
Jamaal Williams NO,157.6,652.1,5.3,13.5,101.8,0.4,1.0,114.5,2023,16424,219.9,12.9
Raheem Mostert MIA,137.1,607.0,3.3,23.7,165.6,0.9,1.1,112.0,2023,14338,152.8,9.6
Elijah Mitchell SF,144.5,654.3,4.2,13.1,95.6,0.8,0.6,110.3,2023,22813,42.1,8.4
Damien Harris BUF,137.6,606.5,4.5,17.0,117.7,0.4,1.0,108.1,2023,18230,82.4,7.5
Tyler Allgeier ATL,148.6,689.9,3.3,11.5,89.7,0.5,0.6,105.4,2023,24172,151.4,9.5
Jerick McKinnon KC,58.3,228.6,1.7,39.3,335.9,3.1,0.5,103.5,2023,12209,168.3,9.9
Devin Singletary HOU,129.6,548.7,2.9,25.0,180.9,0.4,1.2,102.5,2023,18280,159.2,9.4
Chuba Hubbard CAR,113.9,530.0,3.2,18.4,161.9,0.5,0.7,99.3,2023,19792,80.7,5.8
Zach Charbonnet SEA,115.8,503.4,3.2,19.8,164.3,0.7,1.0,97.6,2023,23152,0.0,0.0
D'Onta Foreman CHI,138.7,677.7,3.4,6.9,52.2,0.2,0.9,96.5,2023,16407,128.5,8.0
Jaylen Warren PIT,104.4,471.8,2.6,23.2,198.2,0.4,0.4,96.0,2023,24209,79.3,5.0
De'Von Achane MIA,112.4,452.7,2.9,21.6,180.8,0.9,0.9,94.8,2023,23136,0.0,0.0
Gus Edwards BAL,112.5,536.5,3.2,6.7,59.2,0.2,0.9,81.1,2023,17687,59.3,6.6
Kenneth Gainwell PHI,75.6,345.1,3.2,19.3,153.4,0.6,0.6,81.1,2023,23310,76.4,4.5
Tank Bigsby JAC,103.4,413.6,2.5,15.1,125.8,0.6,0.9,78.2,2023,22908,0.0,0.0
Chase Edmonds TB,79.4,350.4,1.7,21.2,167.6,0.8,0.4,76.9,2023,17496,66.2,5.1
Roschon Johnson CHI,100.0,449.2,2.4,8.9,98.9,0.5,1.0,74.5,2023,25322,0.0,0.0
Cordarrelle Patterson ATL,72.3,307.8,2.3,19.2,159.3,0.8,0.4,74.4,2023,11613,144.2,11.1
Zonovan Knight NYJ,101.5,396.5,1.8,16.1,117.8,0.6,0.4,72.6,2023,24901,52.5,7.5
Joshua Kelley LAC,93.0,380.3,2.3,13.6,115.8,0.3,1.2,69.4,2023,19445,57.8,4.8
Kendre Miller NO,87.7,341.7,1.9,14.7,133.1,0.6,0.8,68.7,2023,24360,0.0,0.0
Tyjae Spears TEN,88.7,349.7,1.8,15.3,125.7,0.6,0.8,67.8,2023,25323,0.0,0.0
Clyde Edwards-Helaire KC,76.9,326.5,2.1,12.2,109.4,0.9,0.5,66.5,2023,19325,89.8,9.0
Ty Chandler MIN,86.4,354.4,2.2,12.7,98.9,0.5,0.9,66.5,2023,19471,2.0,1.0
Chase Brown CIN,73.6,298.8,1.8,17.7,142.8,0.6,0.8,65.9,2023,25324,0.0,0.0
Jerome Ford CLE,93.8,347.3,1.8,11.0,104.4,0.3,0.6,62.5,2023,22921,1.2,0.1
Israel Abanikanda NYJ,74.6,304.7,1.6,11.5,118.0,0.5,0.9,58.6,2023,24352,0.0,0.0
Pierre Strong Jr. NE,82.7,327.9,1.8,10.2,90.6,0.2,0.5,58.3,2023,24173,23.7,2.4
Keaontay Ingram ARI,74.7,300.9,1.8,13.6,90.5,0.3,0.4,57.7,2023,23162,16.1,1.5
Kyren Williams LAR,82.0,296.7,1.2,14.4,118.5,0.3,0.5,56.8,2023,23059,26.0,3.3
Michael Carter NYJ,58.4,231.0,1.2,17.6,152.7,0.5,0.4,56.8,2023,22728,105.5,6.6
Ronald Jones II DAL,84.2,354.0,2.2,5.0,43.0,0.2,0.7,54.8,2023,17243,15.7,3.1
Matt Breida NYG,59.6,266.4,1.2,12.9,104.0,0.3,0.8,50.7,2023,17058,49.8,2.9
Latavius Murray BUF,57.8,277.0,1.6,10.3,71.9,0.2,0.3,50.0,2023,11821,140.7,10.1
Zack Moss IND,69.9,306.5,1.5,8.4,59.2,0.2,0.5,49.7,2023,19263,59.0,4.5
Isaiah Spiller LAC,70.5,274.2,1.2,9.5,82.2,0.3,0.3,48.7,2023,23143,6.9,1.4
Corey Clement ARI,56.8,206.1,1.7,11.7,80.2,0.2,0.4,44.9,2023,16446,19.4,3.9
Malik Davis DAL,63.6,263.4,1.4,5.7,59.6,0.2,0.3,44.4,2023,24205,31.4,5.2
Zach Evans LAR,60.9,221.9,1.2,9.3,86.7,0.4,0.5,44.3,2023,23122,0.0,0.0
Kenyan Drake IND,51.7,218.7,1.1,12.6,93.2,0.2,0.5,43.9,2023,15637,95.6,8.0
Melvin Gordon III BAL,55.1,228.6,0.9,11.7,88.2,0.3,0.8,43.6,2023,13903,74.6,7.5
Deuce Vaughn DAL,45.4,208.9,1.2,11.2,83.2,0.3,0.2,43.0,2023,22984,0.0,0.0
JaMycal Hasty JAC,37.1,179.4,1.0,13.1,96.2,0.4,0.4,41.7,2023,19627,60.0,4.3
Ty Montgomery NE,38.7,118.9,0.6,19.0,128.9,0.7,0.1,41.6,2023,13977,8.8,8.8
Ty Montgomery NE,38.7,118.9,0.6,19.0,128.9,0.7,0.1,41.6,2023,13977,0.0,0.0
Eric Gray NYG,50.0,212.7,1.1,8.5,71.6,0.4,0.5,40.9,2023,23075,0.0,0.0
Ameer Abdullah LV,29.0,101.4,0.4,19.3,142.3,0.6,0.4,39.6,2023,13924,41.6,2.6
Deon Jackson IND,44.0,138.1,0.6,17.6,111.5,0.5,0.6,39.2,2023,20097,69.5,5.8
DeeJay Dallas SEA,33.6,162.3,0.8,11.1,89.7,0.3,0.1,37.0,2023,19521,38.7,2.6
Royce Freeman LAR,12.9,186.1,1.0,10.8,61.1,0.2,0.4,36.5,2023,17245,16.0,3.2
Hassan Haskins TEN,40.4,154.8,0.5,13.0,90.7,0.3,0.2,35.9,2023,23798,20.5,1.5
Sean Tucker TB,52.1,204.2,0.8,7.1,65.3,0.2,0.3,35.8,2023,23679,0.0,0.0
Ke'Shawn Vaughn TB,51.7,205.4,1.2,6.3,41.5,0.2,0.6,35.0,2023,19351,8.7,1.0
Kevin Harris NE,62.5,211.0,1.1,3.1,32.6,0.1,0.2,32.6,2023,23117,11.2,2.2
Jordan Mason SF,50.3,229.3,0.8,2.9,34.7,0.1,0.4,32.5,2023,22969,31.8,2.7
Raheem Blackshear CAR,30.4,116.8,1.2,9.5,71.6,0.2,0.4,31.3,2023,20100,38.0,2.9
Chris Rodriguez Jr. WAS,42.5,173.5,0.8,6.7,50.7,0.1,0.2,31.0,2023,22986,0.0,0.0
Kene Nwangwu MIN,40.5,137.7,0.8,8.7,57.4,0.3,0.2,29.8,2023,23249,10.5,0.8
DeWayne McBride MIN,58.1,176.2,0.7,3.6,54.6,0.1,0.2,29.7,2023,25265,0.0,0.0
Trayveon Williams CIN,49.2,181.4,0.6,6.4,51.4,0.2,0.9,29.6,2023,18607,7.0,0.8
Zamir White LV,53.5,181.3,1.3,3.1,15.6,0.1,0.1,29.6,2023,20095,7.0,0.6
Evan Hull IND,44.9,171.3,0.6,5.2,60.8,0.1,0.2,29.5,2023,25325,0.0,0.0
Boston Scott PHI,33.8,154.2,1.2,3.6,38.3,0.1,0.5,28.0,2023,17612,43.7,2.9
Anthony McFarland Jr. PIT,21.2,128.6,0.6,8.3,51.1,0.2,0.1,26.8,2023,19366,5.1,5.1
Lew Nichols III GB,33.0,149.0,1.0,4.0,34.0,0.0,0.0,26.3,2023,25443,0.0,0.0
Travis Homer CHI,19.4,97.9,0.3,9.8,80.9,0.3,0.1,26.2,2023,18616,35.1,2.9
Chris Evans CIN,28.1,101.2,0.3,9.9,73.0,0.3,0.2,26.0,2023,22797,11.3,1.1
J.J. Taylor NE,4.5,121.3,0.9,5.6,44.2,0.2,0.2,25.6,2023,19438,2.2,2.2
Sincere McCormick LV,30.0,136.0,1.0,4.0,39.0,0.0,0.0,25.5,2023,23172,0.0,0.0
Kyle Juszczyk SF,7.7,26.5,0.3,13.0,104.8,0.6,0.0,25.5,2023,11798,44.1,3.4
Kenny McIntosh SEA,40.4,151.6,0.5,4.0,51.0,0.0,0.2,25.0,2023,25329,0.0,0.0
Brandon Bolden LV,19.9,85.6,0.6,7.9,65.8,0.2,0.2,24.0,2023,11410,23.8,2.0
D'Ernest Johnson JAC,34.3,141.6,0.5,4.7,41.9,0.1,0.0,23.9,2023,19111,3.9,0.4
James Robinson NYG,48.4,156.0,0.2,4.0,49.1,0.1,0.4,23.3,2023,19631,83.1,7.6
Tony Jones Jr. DEN,38.9,116.7,0.7,5.2,34.8,0.2,0.1,22.9,2023,19482,7.9,2.6
Tyrion Davis-Price SF,34.4,135.2,0.4,3.6,46.0,0.1,0.2,22.7,2023,22992,9.9,2.0
Demetric Felton Jr. CLE,13.1,67.7,0.3,10.7,70.0,0.2,0.1,21.9,2023,20105,1.4,0.2
Demetric Felton Jr. CLE,13.1,67.7,0.3,10.7,70.0,0.2,0.1,21.9,2023,20105,0.0,0.0
Patrick Taylor Jr. GB,20.2,99.1,0.7,6.1,36.9,0.2,0.1,21.6,2023,19544,5.3,0.8
Jonathan Williams WAS,33.6,105.9,0.5,6.4,38.7,0.1,0.1,21.5,2023,15611,22.7,2.5
Gary Brightwell NYG,18.8,98.3,0.7,6.0,34.0,0.2,0.1,21.1,2023,23293,26.5,1.8
Tyler Badie DEN,17.0,84.5,0.4,7.6,49.7,0.2,0.1,20.9,2023,23812,8.9,8.9
Mike Boone HOU,23.3,99.9,0.4,5.8,40.3,0.2,0.1,20.4,2023,17813,24.3,3.0
Snoop Conner JAC,20.8,95.1,0.8,3.2,20.0,0.1,0.1,18.3,2023,23027,10.2,2.0
Salvon Ahmed MIA,31.7,97.1,0.1,4.3,52.1,0.1,0.0,18.1,2023,19449,13.7,2.0
Hunter Luepke DAL,36.0,88.3,0.6,4.2,28.4,0.1,0.0,18.1,2023,25941,0.0,0.0
Deneric Prince KC,26.9,92.2,0.3,4.4,40.3,0.1,0.1,18.1,2023,25770,0.0,0.0
Myles Gaskin MIA,32.4,98.1,0.1,4.4,56.3,0.1,0.4,17.8,2023,17251,7.4,3.7
Dare Ogunbowale HOU,11.6,65.7,0.4,7.4,45.0,0.1,0.0,17.8,2023,16879,38.7,2.6
Alec Ingold MIA,4.2,13.1,0.1,10.2,74.1,0.5,0.0,17.5,2023,18571,30.8,2.6
Craig Reynolds DET,17.4,70.9,0.3,5.1,48.6,0.2,0.0,17.3,2023,19074,26.3,3.8
Brittain Brown LV,17.3,77.7,0.6,4.1,33.7,0.1,0.0,17.2,2023,24572,0.0,0.0
Reggie Gilliam BUF,4.5,18.8,0.2,8.9,65.5,0.5,0.0,17.0,2023,19844,18.1,2.3
Reggie Gilliam BUF,4.5,18.8,0.2,8.9,65.5,0.5,0.0,17.0,2023,19844,0.0,0.0
Rico Dowdle DAL,30.8,93.8,0.4,2.8,26.3,0.1,0.1,16.4,2023,19647,0.0,0.0
Justice Hill BAL,17.2,71.6,0.3,6.5,39.0,0.2,0.2,16.4,2023,18256,36.0,2.4
Damarea Crockett NYJ,14.1,59.5,0.4,4.6,34.0,0.3,0.0,15.5,2023,18617,0.0,0.0
C.J. Ham MIN,7.2,21.0,0.2,7.6,58.5,0.4,0.0,15.2,2023,16209,26.3,2.4
Darrynton Evans BUF,12.1,41.4,0.1,8.9,41.4,0.3,0.1,14.6,2023,19418,10.2,3.4
Zander Horvath LAC,6.1,14.3,0.0,5.9,25.1,1.1,0.0,13.7,2023,23933,16.1,2.0
