Rank,Player Team (Bye),POS,Yahoo,Sleeper,RTSports,AVG,Season,pid
301,Sean Tucker TB (5),RB78,,255.0,295.0,275.0,2023,23679
304,Malik Davis DAL (7),RB79,,259.0,298.0,278.5,2023,24205
305,Evan Hull IND (11),RB80,,275.0,282.0,278.5,2023,25325
307,Kyren Williams LAR (10),RB81,,291.0,270.0,280.5,2023,23059
308,Zack Moss IND (11),RB82,,276.0,286.0,281.0,2023,19263
309,Keaontay Ingram ARI (14),RB83,,262.0,314.0,288.0,2023,23162
310,Eric Gray NYG (13),RB84,,263.0,311.0,287.0,2023,23075
311,Kenny McIntosh SEA (5),RB85,,,264.0,264.0,2023,25329
316,D'Ernest Johnson JAC (9),RB86,,,278.0,278.0,2023,19111
317,Ronald Jones II DAL (7),RB87,,281.0,,281.0,2023,17243
319,Latavius Murray BUF (13),RB88,,,283.0,283.0,2023,11821
324,Kenyan Drake IND (11),RB89,,,287.0,287.0,2023,15637
325,Isaiah Spiller LAC (5),RB90,,287.0,315.0,301.0,2023,23143
327,Trayveon Williams CIN (7),RB91,,292.0,318.0,305.0,2023,18607
332,Dontrell Hilliard,RB92,,,297.0,297.0,2023,18037
335,Melvin Gordon III BAL (13),RB93,,,299.0,299.0,2023,13903
338,Ke'Shawn Vaughn TB (5),RB94,,,305.0,305.0,2023,19351
339,Raheem Blackshear CAR (7),RB95,,,306.0,306.0,2023,20100
340,Matt Breida NYG (13),RB96,,,309.0,309.0,2023,17058
341,Jordan Mason SF (9),RB97,,,310.0,310.0,2023,22969
